,Title,Published Date,Background,Story,Award,Award Region,Award Category,Jury,Stored Path,Photographer,Award Year
0,Kamloops Residential School,"19 June, 2021","Red dresses hung on crosses along a roadside commemorate children who died at the Kamloops Indian Residential School, an institution created to assimilate Indigenous children, following the detection of as many as 215 unmarked graves, Kamloops, British Columbia.The hanging of red dresses as a visual response to the disproportionate violence faced by women with an Indigenous heritage began in Winnipeg, Manitoba, in 2011; orange shirts are also used, specifically to acknowledge suffering caused to children by the residential school system in Canada. Residential schools began operating in the 19th century as part of a policy of assimilating people from various Indigenous communities into Western, and predominantly Christian culture. Students were removed from their homes and parents – frequently by force – and often forbidden to communicate in their own languages. Their hair was cut short, and they had to wear uniforms, rather than traditional clothing, were given Euro-Christian names in place of their own, and were subject to physical and sometimes sexual abuse. Supreme Court Chief Justice Beverley McLachlin claimed Canada used the institutions to commit cultural genocide.","Upwards of 150,000 children passed through the doors of residential schools before the last one closed in 1996. A Truth and Reconciliation Commission, set up in 2009, concluded that at least 4,100 students died while at the schools, as a result of mistreatment, neglect, disease or accident. The Kamloops School, established in 1890, became the largest in the system, attended by hundreds of Secwépemc and other First Nations children. It closed in 1978. In May 2021, a survey using ground-penetrating radar identified as many as 215 potential juvenile burial sites at Kamloops – confirming reports from oral histories.",2022 Photo Contest,North and Central America,Singles,"This winner represents the awakening of a shameful history that is finally being addressed in Canada. It is a perfect image which captures a rare light, and is at once haunting, arresting, and symbolic. The sensory image offers a quiet moment of reckoning with the global legacy of colonization and exploitation, while amplifying the voices of First Nations communities who are demanding justice. The single image requires an active eye, and encourages us to hold governments, social institutions, and ourselves accountable. ",F:\Temp\2022\Amber Bracken,Amber Bracken,2022
1,The People Who Feed the United States,"06 September, 2020","José sits in his room with his sister Sara, in Sioux Falls, South Dakota, USA. José worked in a meatpacking plant until contracting COVID-19 in April 2020. He was in hospital on a ventilator for five months, and still uses an oxygen cylinder. Sara also worked at the factory, but left to become a house cleaner. She took care of her brother during his illness. The stories of migrants working in the US meatpacking industry sheds light on the lives many migrants lead once they reach their destination. The industry, which prepares meat for human consumption, is dominated by large industrial firms, with four companies controlling 70% of nationwide beef production. Immigrant labor makes up a large proportion of workers in an industry known for its long shifts and strenuous working conditions, and where English language skills are not essential. Nationally, immigrants make up 37% of the meat industry labor force, according to the Migrant Policy Institute. In some states, such as Nebraska and South Dakota, that rises to well over half the workforce.","In April 2020, former US president Donald Trump called the meat industry part of the nation’s critical infrastructure, saying plants should remain open despite the COVID-19 pandemic. According to the US Department of Labor, meatpacking workers are exposed to a range of bacteria and viruses, and are at increased risk of illness. COVID-19 spread quickly in an industry where workers operated in close proximity to each other. A study by the US-based Environmental Working Group found that counties with or near meatpacking industries reported twice the national average rate of COVID-19 infection. This was exacerbated by the fact that consolidation in the industry has led to meatpacking plants being located in clusters, and because people in difficult economic circumstances, or who are dependent on overtime pay, may feel a financial pressure to turn up for work, despite the risks.",2022 Photo Contest,North and Central America,Stories,"The jury appreciated these nuanced portraits for their intimate, care, and dignified representations of an often invisible but crucial section in our society – a section that suffered the brunt of the impacts of the COVID-19 pandemic. It approaches the portrayal of migrants in a humane way, unlike so many dehumanizing vantage points permeating the mainstream media and desensitizing us to the hardships of these vulnerable groups. The project allows us to see them as the people they are after they have become ingrained in the fabric of our society, apart from the occupations that they tend to be defined by in the media.",F:\Temp\2022\Ismail Ferdous,Ismail Ferdous,2022
2,Political Year Zero,"18 December, 2019","An aide to Speaker of the House of Representatives Nancy Pelosi adjusts a row of flags in front of a painting of George Washington, at the US Capitol, while preparing for Democratic leaders to speak after the vote to impeach President Donald Trump, on 18 December 2019 – the first of two occasions on which Trump was impeached. The US House of Representatives impeached the president for abusing his power by trying to coerce Ukraine into investigating Joe Biden, then a leading contender for the Democratic nomination to run against him, by allegedly threatening to withhold military aid. A second charge was laid  against the president for obstructing Congress by ordering his administration to not cooperate with the investigation. Trump was later acquitted on both charges by the US Senate.The final year of Donald Trump’s presidency of the US, saw increasing polarization in the country, growing social unrest, and burgeoning disinformation in the media. From early in the run-up to the 2020 US election, President Trump began to make accusations of judicial and electoral subversion. Unrest among his supporters grew into insurrection, culminating in a 6 January 2021 attack on the United States Capitol Building in Washington DC. The photographer has lived in the US capital for more than 15 years documenting social and political issues, and wished to examine and give insight into the background behind the 6 January attack. ","As COVID-19 took hold from early 2020, the president was criticized for his handling of the pandemic, and for undermining scientists and spreading conspiracy theories rather than encouraging mask wearing and social distancing. The murder of George Floyd, a 46-year-old Black man, who died while being arrested by Minneapolis police on 25 May 2020, led to protests in support of the Black Lives Matter movement by between 15 million and 26 million people nationwide. On 18 September, less than two months before the presidential elections, Supreme Court Justice Ruth Bader Ginsberg, who spent much of her legal career as an advocate for gender equality and women’s rights died.  President Trump and Senate Republicans rushed through the appointment of a new Supreme Court judge, thus preventing Joe Biden from making his own appointment if he won.",2022 Photo Contest,North and Central America,Long-Term Projects,"This project was a very intelligent, insightful and long-term approach to chronicling the course of events leading to the American insurrection of 6 January 2021. The project gives us a fly-on-the-wall, insider account of the myriad of scenes that lead up to the event. The visual rendering is almost theatrical and surreal, just like the event itself, it blurs the lines between the real and the imaginary. The style is akin to that of an unwitting eyewitness, and slows down an otherwise chaotic, spectacle-filled event to give room for contemplation. ",F:\Temp\2022\Louie Palu,Louie Palu,2022
3,The Flower of Time. Guerrero's Red Mountain,"31 December, 2021","A Mixtec elder on the Cerro de la Garza in Guerrero, Mexico. Every year, on 31 December, Mixtecs climb the hill to perform rituals commemorating the end and beginning of a life cycle. They perform processions, dances, and other Indigenous spiritual practices to demonstrate their gratitude to the earth.The project is a series of textured photographs that document the struggle that Indigenous poppy cultivators face in Guerrero, Mexico. The photographer put scratches and pinpricks into prints of the photographs, and then backlit them, to represent trauma as well as the process of scratching of the poppy flower during opium extraction. The color red is used to signify life, blood and violence.","Mexico is the third-largest opium producer in the world after Afghanistan and Myanmar. Over half of Mexico’s opium is grown in its second-poorest state, Guerrero, which is home to several Indigenous ethnic communities. Neoliberal economic policies have been damaging traditional agriculture since the 1990s. This has led to small-scale farmers no longer being able to compete with foreign exporters, forcing them to abandon traditional crops, such as maize and coffee, for more lucrative crops such as opium poppies and marijuana. The drug economy  constitutes a substantial portion of the local economy, and has transformed the social structure of these often Indigenous farming communities.",2022 Photo Contest,North and Central America,Open Format,"This project is a dramatic, people-centric story. It provides a subtle commentary on violence while excluding graphically violent moments, in order to center the community. This is achieved through the effective use of an aesthetic and multilayered technique which gives a mysterious quality. This intentional approach is used to powerfully symbolize the marks of trauma and loss in a community that the photographer himself has experienced personally.",F:\Temp\2022\YaelMartínez,YaelMartínez,2022
4,San Isidro Settlement Eviction,"06 March, 2021","Police agents arrest a man while his wife and family resist, during evictions of people from the San Isidro settlement, in Puerto Caldas, Risaralda, Colombia.","Evictions of residents of the San Isidro settlement began on 3 March 2021 ahead of construction of a railroad planned to connect the capital of the Risaralda district with Buenaventura, Colombia’s main Pacific seaport. The photographer says he would like to give social issues and struggling minorities greater visibility and a better future through his work. Following his photographs and subsequent media coverage, members of the central government intervened and evicted residents from San Isidro were promised rehousing and compensation. They were resettled in temporary shelter, but by early 2022 had still not been relocated to new land.Authorities said the railroad megaproject would bring work and investment to the area, and that the ground did not officially belong to the people being evicted. Economic hardship during the COVID pandemic led to growing numbers of people living in informal settlements around Colombia, with frequent evictions. People in San Isidro, many of whom were of African descent, from Chocó, in the west of the country, or belonged to the Embera Chami community, lived in makeshift shelters, without basic services. Reports in local media stated that local authorities had hurried through the process of claiming land for the railroad project to prevent new settlements in the area.",2022 Photo Contest,South America,Singles,"The jury felt that the image portrays a universally comprehensible expression of intimate belonging in the middle of an urgent moment of resistance. The many layers of action create a commentary on the complex interaction between modern development, the proliferation of industrial mega projects and human rights, asking the question: who are the police really defending? Furthermore, by bearing witness with his camera, the photographer was able to support the peoples' fight for recognition, demonstrating the positive impact that press photojournalism can have in inspiring social change and holding institutions accountable.",F:\Temp\2022\Vladimir Encina,Vladimir Encina,2022
5,Haze,"20 September, 2019","A child in a classroom in Palembang, South Sumatra, Indonesia, covers his face with a mask to avoid the smell of smoke from a forest fire.Indonesia is affected by annual seasonal fires, but has seen some exceptionally large wildfires in recent years. A fire that raged for more than two months in 2015 was one of the worst fires on record this century, destroying some 26,000 km2 of land, an area half the size of Costa Rica. Fire haze, which at times reaches neighboring countries, can affect human health, especially as it carries fine particulate matter, which can penetrate deep into the lungs. A Harvard University study linked the 2015 haze to more than 100,000 premature deaths in Indonesia, Malaysia and Singapore. UNICEF said that wildfires across Kalimantan and Sumatra in 2019 put nearly 10 million children at risk from air pollution.The accelerating wildfire rate is also jeopardizing the country’s progress in reducing deforestation (thus contributing to global heating, as trees absorb CO2). In addition, fires on peat-rich islands such as Borneo and Sumatra have a further impact, as when peat burns it releases massive amounts of CO2 into the environment.Fires usually peak in the July–October dry season. Dry conditions make it easier for fires to be set to clear land for agriculture, but also more likely that they spread out of control. Indonesia is the world’s largest producer of palm oil and industrial-scale land clearance has increased the risk of wildfire immensely. While the Indonesian government has introduced strict laws against burning for land clearance, large companies frequently find loopholes to avoid fines or other sanctions. Indonesia has lost around a quarter of its forest area since the beginning of data collection in 1990, according to the World Bank.","The photographer lives near areas affected by wildfire, and shares his community's anxiety with the approach of every dry season. He wishes to draw attention to the fires, and aims to carry out a campaign to eradicate forest fires in Indonesia.",2022 Photo Contest,Southeast Asia and Oceania,Long-Term Projects,"The jury felt that this project presented an extensive look at one of Southeast Asia's biggest and longest-running environmental problems, which has affected millions across the region. The project effectively uses the long-term format to dive into the toll that this man-made issue has had on both nature and people throughout various seasons. It goes beyond raising awareness but also creates space for reflection.",F:\Temp\2022\Abriansyah Liberto,Abriansyah Liberto,2022
6,Blood is a Seed,"12 November, 2021","Through personal stories Blood is a Seed (La Sangre Es Una Semilla) questions the disappearance of seeds, forced migration, racism, colonization, and the subsequent loss of ancestral knowledge.During the course of the 20th century, 75% of agricultural plant genetic diversity was lost globally. A main driving force of declining agrobiodiversity is the push for the cultivation of monocultures of modified and often non-native varieties, for higher-yield crops.","The video is narrated by the photographer and their father, and is informed by the father’s memory, as well as their own perceptions of the transformations experienced by small farmers over the last three generations. Romero's father migrated in 1981 in search of better opportunities and to escape the violence that Colombia was experiencing in those years.",2022 Photo Contest,South America,Open Format,"This is a very strong project which approaches an issue of global concern from a personal angle, by reflecting on personal loss. Through investigating her own roots and ancestry, the photographer addresses the violent and strategic erasure of cultural knowledge which continues to have deeply rooted consequences on new generations, broader society and the Earth. The combination of methods and sensory layers – sound, code design and collaborative drawings – build on a clear language that is at once personal and political. The video is well-paced and is a great example of how the Open Format category is a space where photographers can make use of several mediums in a coherent and imaginative way to forward a narrative that is of global relevance.",F:\Temp\2022\Isadora Romero,Isadora Romero,2022
7,Slingshots,"28 March, 2021","Protesters use slingshots and other homemade weapons in a clash with security forces in Yangon, Myanmar.","On 1 February 2021, military leaders staged a coup in Myanmar, hours before a newly elected parliament was to have been sworn in. The military’s proxy party had lost to the civilian National League for Democracy (NLD), headed by Aung San Suu Kyi, putting the NLD in office for the second time since Myanmar’s first nationwide multiparty elections in 2015. Following the coup, the military junta arrested Suu Kyi alongside other lawmakers and activists. Huge protests erupted nationwide, and were met with a harsh military crackdown. International media organizations and a UN official reported that the military were firing live ammunition at civilian protesters and into people’s homes.The photographer remains anonymous for reasons of personal safety. The day before this photograph was taken saw 114 civilians reported killed. The Assistance Association for Political Prisoners reports more than 9,400 people arrested and 1,500 killed by junta forces in the months following the coup. In April, ousted NLD lawmakers and other activists established a parallel government. By the end of the year, the military was still in power, although the parallel opposition government and its armed division prevented the military from consolidating complete control over the country, and resistance continued.Journalists attempting to cover the situation faced intimidation, harassment and violence from military authorities. According to Reporters Without Borders (RSF), 115 journalists were arrested in Myanmar in 2021 while covering protests or after being tracked down by the intelligence services, and three have been killed.",2022 Photo Contest,Southeast Asia and Oceania,Singles,"The image highlights an emerging culture of protest in Southeast Asia, where people have historically faced high consequences for speaking out. The Myanmarese people shooting slingshots against a heavily armed military is highly symbolic and illustrate the determination of the people, who will continue to protect their democracy with whatever means available. By capturing the image from within the group, the image communicates that the photojournalist stands committed to sharing the struggle of these protestors. This visual of resistance is important and uplifting for people throughout the subregion, it encourages them to maintain hope as they engage in the daily task of fighting for democracy.",F:\Temp\2022\Anonymous,Anonymous,2022
8,Saving Forests with Fire,"03 May, 2021","Nawarddeken elder Conrad Maralngurra burns grass to protect the Mamadawerre community from late-season wildfires, in Mamadawerre, Arnhem Land, Australia. The late-evening fire will die out naturally once the temperature drops and moisture levels rise.","Indigenous Australians have strategically burned land to protect their environment for tens of thousands of years. In a practice known as cool burning, fires move slowly, burn only the undergrowth, and remove the build-up of fuel that feeds bigger blazes. As a result, these traditional burns prevent larger, more destructive fires from occurring in the hotter, dryer months of the year. The Nawarddeken people, one of the traditional owners of West Arnhem Land in the north of Australia, see fire as a way to rejuvenate the land, and use it as a tool to manage their 1.39 million hectare homeland. Warddeken rangers use traditional knowledge and combine it with contemporary technologies such as aerial burning and digital mapping to prevent wildfires. In doing so, they have successfully decreased the amount of climate-heating CO2. The emissions saved earn carbon credits, and the proceeds are invested in the community and environmental projects.The photographer is an Australian who once lived in West Arnhem Land and was accepted into a local community. He sees sharing the Warddeken rangers’ solution to wildfires important due to the climate crisis and the intensive bushfires Australia has seen in recent years.",2022 Photo Contest,Southeast Asia and Oceania,Stories,"The story responds to Australia's devastating forest fires and makes us question what the world would look like if we had listened to ancient knowledge. The body of work is a proactive and pragmatic lesson which does not exoticize the Nawarddeken people, a First Nations group, but rather highlights the crucial value of their knowledge in a comprehensive review. While each image is strong on its own, intentional editing, strong pacing, and the sequencing of images illustrates how culture and the environment are inseparable in indigenous cultures. Furthermore, the story provides a refreshing balance of humans and nature in a way which forwards a perspective of interconnectedness and the role of humans as stewards of the land.",F:\Temp\2022\Matthew Abbott,Matthew Abbott,2022
9,The Will to Remember,"13 October, 2021","A ‘blur’ portrait of Bhumibol Adulyadej, the former king of Thailand and head of the Royal Thai Army. The ‘blur’ portrait raises questions about the role of the king, who avoids smiling to create a calm, respectable self-image akin to the Buddha, in the military coups and state violence that have dominated Thai politics since the end of absolute monarchy in 1932.The project juxtaposes archival images of the 6 October 1976 massacre of students at Bangkok’s Thammasat University with photographs the photographer took during the 2020-2022 Thai pro-democracy protests, in order to understand the root causes of the present-day protests.The 6 October massacre occurred when Thai police and right-wing paramilitaries opened fire on students protesting the return of former military dictator Thanom Kittikachorn to the country. Today’s student protestors are similarly opposed to the current military dictatorship and are also calling for reform of the Thai monarchy.Rachurutchata employs the Japanese method of kintsugi by tearing photographs, then mending them with lacquer and powdered gold. Rachurutchata uses kintsugi to symbolize the transformation of trauma into hope and the possibility of a better future.",Keep in touch - Sign up for our newsletter for inspiring examples of the best photojournalism and documentary photography.,2022 Photo Contest,Southeast Asia and Oceania,Open Format,"This project presents a language of storytelling that attempts to foster hope through the transformation and reparation of trauma. The method of repair transcends the regional context and can be appreciated from around the world. Furthermore, it is employed with intention on both archival and contemporary images. Through this, the photographer creates a narrative thread that connects experiences of intergenerational trauma to a strong commentary on the role of authority and propaganda in a continuous and strategic historical erasure.",F:\Temp\2022\Charinthorn Rachurutchata,Charinthorn Rachurutchata,2022
