,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,1986 Photo Contest,General News,"01 May, 1985",F:\Temp\1986\Mary Ellen Mark,"Aid worker Dr. Bénedicte Clement receives a kiss from four-year-old Mohammed in Korem Camp, a  famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
1,Not Specified,1986 Photo Contest,Humor,"01 January, 1985",F:\Temp\1986\Alexander Grachtchenkov,Russian obstetrician and pedagogue Igor Charkovsky showing a baby outside his school for physical education in Moscow.,1st prize,Alexander Grachtchenkov,1986
2,Not Specified,1986 Photo Contest,General News,"01 January, 1985",F:\Temp\1986\Alfred Yaghobzadeh,Life in war-torn Beirut: A family mourns the loss of a relative.,1st prize,Alfred Yaghobzadeh,1986
3,Not Specified,1986 Photo Contest,General News,"01 January, 1985",F:\Temp\1986\James L. Stanfield,"Easter.
As a sovereign state within the city of Rome, Vatican City was only created in 1929, but the Holy See, head of the Roman Catholic Church, has endured longer than any other Western office. Combining the spiritual guidance and temporal management of the world's largest congregation, Pope John Paul II is monarch of Vatican City and Bishop of Rome.",3rd prize,James L. Stanfield,1986
4,Not Specified,1986 Photo Contest,Humor,"01 January, 1985",F:\Temp\1986\Alexandr Polyakov,Naval cadets support their friends who are about to beat a civilian team in a tug-of-war contest during a sports festival.,2nd prize,Alexandr Polyakov,1986
5,Not Specified,1986 Photo Contest,Nature,"01 June, 1985",F:\Temp\1986\Thomas Pflaum,"A helicopter sprays lime on the forest to counteract the effect of acid rain, which is very severe in this part of the country.",3rd prize,Thomas Pflaum,1986
6,Not Specified,1986 Photo Contest,Humor,"01 January, 1985",F:\Temp\1986\Ronald G. Bell,"Disco Charlie, the Prince of Wales.",Honorable mention,Ronald G. Bell,1986
7,Not Specified,1986 Photo Contest,Nature,"01 January, 1985",F:\Temp\1986\James A. Sugar,A herd of bison grazes at dawn. Today the mighty American bison needs protection in order to survive.,1st prize,James A. Sugar,1986
8,Not Specified,1986 Photo Contest,Nature,"01 January, 1985",F:\Temp\1986\John Launois,"A stork, recognizable by its size and striking black and white feathers. Storks often build their nests on chimney-pots and church steeples.",2nd prize,John Launois,1986
9,Not Specified,1986 Photo Contest,Nature,"01 January, 1985",F:\Temp\1986\Alain Keler,"Korem refugee camp, August-September. Families await the daily distribution of food. After several years of draught, the rain posed its own problems: trees, blankets and garments offer little protection.",1st prize,Alain Keler,1986
10,Not Specified,1986 Photo Contest,General News,"01 January, 1985",F:\Temp\1986\James Nachtwey,"A little boy hiding behind a soldier in Nicaragua, a country scourged by civil war. Fifty percent of its GNP is spent on the war effort.",2nd prize,James Nachtwey,1986
11,Not Specified,1986 Photo Contest,Humor,"01 January, 1985",F:\Temp\1986\J. Scott Applewhite,Naval Academy graduate Eric Olsen of California is presented his diploma by President Reagan.,3rd prize,J. Scott Applewhite,1986
12,Not Specified,1986 Photo Contest,General News,"01 January, 1985",F:\Temp\1986\Eric Luse,Danh Kim Lieu clutches a portrait of her mother. Both her parents were found with their throats slashed in their home. Police investigators believe the Vietnamese parents of five were involved in international money smuggling.,1st prize,Eric Luse,1986
13,Not Specified,1986 Photo Contest,Arts and Entertainment,"07 June, 1985",F:\Temp\1986\Eddie Adams,Japanese calligrapher Aikawa-Cho.,2nd prize,Eddie Adams,1986
