,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Kitchen Table,2015 Photo Contest,General News,"26 August, 2014",F:\Temp\2015\Sergei Ilnitsky,"A kitchen table in Donetsk, on 26 August, a day on which several districts of the city came under artillery fire from government troops.
Protests in February had toppled Ukrainian leader Viktor Yanukovych from power, and installed the pro-European Petro Poroshenko as president. Separatists in the largely Russian-speaking east of the country demanded greater autonomy and stronger links with Russia.
In April, rebels seized government buildings and established self-proclaimed people’s republics in the eastern regions of Donetsk and Luhansk. Pro-Russian separatists in Donetsk later asked Moscow to deploy troops in the area and consider absorbing eastern Ukraine into Russia. Clashes between government and separatist forces over the ensuing weeks resulted in heavy casualties on both sides. Russia conducted a number of military exercises near the Ukrainian border, while Ukraine and NATO officials accused Russia of arming the rebels and invading Ukrainian territory with military units and personnel, a claim that Moscow denied.",1st prize,Sergei Ilnitsky,2015
1,Side Effects,2015 Photo Contest,Long-Term Projects,"19 July, 2011",F:\Temp\2015\Kacper Kowalski,"52°46’28.98”N 18°7’25.95”E
Kacper Kowalski is a pilot and a photographer. 'Side Effects' is a documentary project about the complex relationship between humans and nature. The photos were shot either from a paraglider or a gyroplane, some 150 meters above the ground, mainly in the area around Gdynia, in Poland, where Kowalski lives. In this work, Kowalski explores answers to questions that deeply interest him: What is the natural environment for humans? Is it an untouched, virgin landscape? Or is it a landscape that has changed, adapted to human needs?
Kowalski sees his work as offering a graphic and sometimes abstract portrait of how civilization came into being. For Kowalski, the content of the photo is less important than the reactions, reflections, and ideas that arise when looking at it. He would like the project to be a starting point for discussion about what is good or bad, necessary or optional, in the relationship between humans and nature.
The camera is never connected to a remote control, and Kowalski never uses a drone. He wants to be up there, camera in hand. And he flies alone. That means he doesn’t have to explain anything, or rely on another person’s spatial imagination. It means he can fly precisely.
Side Effects is more a method of visual storytelling than a concrete set of pictures. It is an ongoing project that will continue to be modified.",2nd prize,Kacper Kowalski,2015
2,Family Love 1993-2014,2015 Photo Contest,Long-Term Projects,"28 April, 2012",F:\Temp\2015\Darcy Padilla,"Jason hugs Elyssa on her fourth birthday.
The photographer, Darcy Padilla, first met Julie Baird on 28 January 1993. Julie was then 18, and was standing barefoot in the lobby of the Ambassador Hotel in San Francisco, with an eight-day-old child in her arms. She was HIV positive, and had a history of drug abuse. For the next 21 years, Padilla documented Julie’s life, and that of her family, until Julie’s death in 2010. After Julie died, Padilla continued to follow the family’s story.
Julie Baird ran away from home at the age of 14, and was a drug addict by the time she was 15, living in alleys and crack dens. Her earliest memory of her own childhood was of getting drunk with her mother at the age of six, then being sexually abused by her stepfather. When Padilla met her, Julie was living with Jack, the father of her first child, Rachel. It was through Jack that Julie became infected with HIV. Julie left Jack in 1994, because he beat her. For a while, Julie lived alone with Rachel, mostly in hotel rooms, moving twelve times in one year. In 1996, she had another child, Tommy, but the father wanted nothing to do with Julie or the baby. After five months with Rachel and Tommy at a Salvation Army live-in program, Julie moved in with a man she had met there, Paul. He was later sentenced to jail for physically abusing Tommy. After losing custody of Rachel and Tommy, Julie entered a rehab program, hoping to be reunited with them.
While in rehab, Julie, now 24, met Jason Dunn, two years younger than she and also HIV positive. Jason, too, had gone through a troubled childhood, and had run away from his adoptive family at the age of 15, surviving for a while as a male prostitute. Over the next three years, Julie and Jason had three children together: Jordan, Ryan and Jason Jr. All three, like Rachel and Tommy, were eventually taken into care by the state.  Julie and Jason served a nine-month jail sentence for abducting Jordan from hospital soon after the birth, so that he wouldn’t be taken up for adoption.
In 2005, Padilla came across an internet posting by someone looking for Julie. It turned out to be from her biological father, who for three decades had been trying to track her down. Julie and Jason moved to Alaska to be with him, and they had a year together before he died of a heart attack. Later, Padilla also located Jason Jr (now known as Zach) living happily with his adoptive parents, and arranged a meeting with Julie.
In 2008, Julie gave birth to a daughter, Elyssa, but by 2010 life was difficult again. Jason, Julie and Elyssa were living in Alaska, in a house without electricity or running water, more than 12 kilometers from the nearest town, and Julie was very ill. She died, of AIDS-related illnesses, on 27 September 2010, at the age of 36.
	After coming across Julie’s story, Jason’s adoptive parents offered to help. Jason moved with Elyssa to live near them, in a furnished apartment they provided in Portland, Oregon, but he could not cope with life as a single parent. Elyssa would often rage at him, blaming him for her mother’s death. Later, Elyssa was taken into care, first by Jason’s adoptive sister, and then by a foster family. Jason was jailed for 17 years in 2013, for sexual abuse of a minor, a charge he denies.
Elyssa continues to live with her new family, and is working on coming to terms with her relationship with Julie and with Jason. In 2014, Padilla received an email from a happily married Rachel, who had come across The Julie Project, and said that knowing her mother’s story had helped her to heal.
“The story of Julie Baird and her family is a complex one: a story of poverty, AIDS, drugs, multiple homes, relationships, births, deaths and reunion. By focusing on one woman’s struggle, I hoped to provide an in-depth look at social issues surrounding disadvantage and HIV, but I also wanted to create a record for Julie’s children of their mother’s story.”—Darcy Padilla",1st prize,Darcy Padilla,2015
3,Gaza Conflict,2015 Photo Contest,General News,"23 July, 2014",F:\Temp\2015\Sergey Ponomarev,"Two brothers of the El Agha family mourn their father, killed during the shelling of the town of Khan Yunis, in southern Gaza.",3rd prize,Sergey Ponomarev,2015
4,Mass Abduction in Nigeria ,2015 Photo Contest,General News,"13 May, 2014",F:\Temp\2015\Glenna Gordon,School uniforms belonging to three of the kidnapped girls.,2nd prize,Glenna Gordon,2015
5,Ebola in Sierra Leone,2015 Photo Contest,General News,"23 November, 2014",F:\Temp\2015\Pete Muller,"Medical staff escort a man, delirious in the final stages of Ebola, back into the isolation ward from which he had escaped, in Hastings, near the capital Freetown. The man had attempted to climb over the back wall of the complex, before collapsing in a convulsive state. A complete breakdown of mental facilities is a common stage of advanced Ebola. The man died shortly after this picture was taken.",1st prize,Pete Muller,2015
6,"Bosa, Bosa, Bosa!",2015 Photo Contest,General News,"24 April, 2014",F:\Temp\2015\Gianfranco Tripodo,"A migrant hides from the Guardia Civil in Melilla, an enclave of Spanish territory in North Africa.
Three six-meter-high fences separate Melilla from Morocco, yet for decades people seeking a better life in Europe have attempted to scale the fences and reach Spanish soil. Some 6,000 such crossings were reported in Melilla and its sister enclave, Ceuta, in 2014. Very few migrants are granted political asylum; those who are not are taken to the mainland and handed an order to leave, but most cannot be deported as Spain does not have relevant treaties with their countries of origin. The man hiding beneath the vehicle managed in this instance to avoid capture.",3rd prize,Gianfranco Tripodo,2015
7,Rescue Operation,2015 Photo Contest,General News,"07 June, 2014",F:\Temp\2015\Massimo Sestini,"Refugees crowd on board a boat some 25 kilometers from the Libyan coast, prior to being rescued by an Italian naval frigate working as part of Operation Mare Nostrum (OMN). The search-and-rescue operation was put in place by the Italian government, in response to the drowning of hundreds of migrants off the island of Lampedusa at the end of 2013. The numbers of people risking their lives to cross the Mediterranean Sea rose sharply in 2014, as a result of conflicts or persecution in Syria, the Horn of Africa, and other sub-Saharan countries.
OMN involved the Italian Red Cross, Save the Children, and other NGOs in an effort not only to rescue lives, but to provide medical help, counseling, and cultural support. Naval officers were also empowered to arrest human traffickers and seize their ships. In its one year of operation, OMN brought 330 smugglers to justice, and saved more than 150,000 people, at least a quarter of which were refugees from Syria. The operation was disbanded in October, and replaced by Triton, an operation conducted by the EU border agency Frontex, focusing more on surveillance than rescue.",2nd prize,Massimo Sestini,2015
8,Behind a Window Blind,2015 Photo Contest,Daily Life,"18 November, 2013",F:\Temp\2015\Turi Calafato,"Windows like these can be seen in almost every city in the world. The seats of this restaurant are solo, so the act of eating, usually a communal act, is reduced to a solitary activity.",3rd prize,Turi Calafato,2015
9,Mothers of Patience,2015 Photo Contest,Contemporary Issues,"25 July, 2013",F:\Temp\2015\Fatemeh Behboudi,"More than 200,000 Iranian soldiers were killed in the eight-year war between Iran and Iraq. After the war ended in 1988, it was revealed that the bodies of over 10,000 Iranian soldiers were still missing.",Honorable Mention,Fatemeh Behboudi,2015
10,"Mongolia, Black Gold Hotel",2015 Photo Contest,Daily Life,"12 January, 2013",F:\Temp\2015\Michele Palazzi,"In the last decade the economy of Mongolia has grown at an unprecedented rate, with GDP expanding by more than 10 percent per year.",1st prize,Michele Palazzi,2015
11,Eritrean Wedding,2015 Photo Contest,Daily Life,"12 April, 2014",F:\Temp\2015\Malin Fezehai,"The wedding of two Eritreans who came to Israel as refugees. They are among about 50,000 African asylum seekers living in Israel, mostly from Eritrea and Sudan.",3rd prize,Malin Fezehai,2015
12,Birthday Chocolate,2015 Photo Contest,Daily Life,"24 March, 2014",F:\Temp\2015\Åsa Sjöström,Igor hands out chocolate to a friend on his ninth birthday.,2nd prize,Åsa Sjöström,2015
13,The Bull Market,2015 Photo Contest,Daily Life,"14 November, 2014",F:\Temp\2015\Cai Sheng Xiang,Yi people gather to trade cattle and horses at a market.,1st prize,Cai Sheng Xiang,2015
14,Blue Sky Days,2015 Photo Contest,Contemporary Issues,"10 November, 2013",F:\Temp\2015\Tomas van Houtryve,"The photographer bought his own drone, mounted a camera and traveled across the United States looking for situations similar to those mentioned in strike reports from Pakistan and Yemen.",2nd prize,Tomas van Houtryve,2015
15,Jon and Alex,2015 Photo Contest,Not Specified,"18 May, 2014",F:\Temp\2015\Mads Nissen,"Jon, 21, and Alex, 25 are a couple. Being lesbian, gay, bisexual or transgender (LGBT) is becoming more and more difficult in Russia.",Contemporary Issues,Mads Nissen,2015
16,Waria: Being a Different Muslim,2015 Photo Contest,Contemporary Issues,"24 August, 2014",F:\Temp\2015\Fulvio Bugani,"LGBT activist Shinta Ratri with other transgender women, known as warias, in a social meeting she organized.",3rd prize,Fulvio Bugani,2015
17,Christmas Factory,2015 Photo Contest,Contemporary Issues,"06 December, 2014",F:\Temp\2015\Ronghui Chen,"Wei, a 19-year-old Chinese worker, wearing a face mask and a Santa cap, stands next to Christmas decorations being dried in a factory, as red powder used as coloring hovers in the air.",2nd prize,Ronghui Chen,2015
18,Development and Pollution,2015 Photo Contest,Long-Term Projects,"17 November, 2014",F:\Temp\2015\Lu Guang,"Many factories are found in the western part of Qian’an. Every day, their chimneys discharge thick smoke. Many large steel factories are located there, such as Qiangang, Jiujiang, Songting, Yanshan. That area is covered with smoke and dust. It is one of the cities with the most serious pollution in China.
China is now the world’s second-largest economy. Its economic development has consumed lots of energy and generated plenty of pollution. A habit of directly discharging unprocessed industrial sewage, exhaust gas and waste material has led to pollution of farmlands, grasslands and drinking water as well as the ocean and the air. Over the past 10 years, factories have been moved from the country’s east to its central and western parts, thus greatly expanding the polluted area and increasing the severity of the the situation.
Although the environmental protection administration has shut down many small enterprises with serious pollution emission, some still continue to discharge contaminants illegally. Some have adopted covert operations, such as releasing the smoke and gas waste at night. The sewage channel is embedded into the river and ocean for discharging pollution. Western factories have large evaporation ponds to store sewage, but the sewage sinks into the ground, thus polluting the water source.
Minerals, such as coal and iron, are expanded to large-scale predatory strip mine exploitation from the original underground mining. Grassland has been turned into desert. Fertile farmland has given way to barren mountains. Herdsmen no longer have grassland. Farmers have lost their farms, their own homelands destroyed, thus causing the villagers to become displaced. Winds carry the exposed coal dust and sand, causing smog. Smog, in turn, forces middle and primary schools to close. Flights get delayed. The highway gets shut down.
The number of hospital patients with respiratory disease goes up. Food and drinking water is polluted, which leads to cancer, so common China has seen the emergence of ‘cancer villages’. China’s environmental pollution has already exerted great threats to the people’s life and security.",3rd prize,Lu Guang,2015
19,What Remains ,2015 Photo Contest,Daily Life,"17 January, 2012",F:\Temp\2015\Sarker Protick,"It was in the afternoon. I was sitting on my grandpa’s couch. The door was slightly open, and I saw light coming through, washed out between the white door and white walls. All of a sudden it all started making sense.",2nd prize,Sarker Protick,2015
20,Monkey Training for a Circus,2015 Photo Contest,Nature,"29 November, 2014",F:\Temp\2015\Yongzhi Chu,"A rhesus macaque cowers as its trainer approaches, while training for a circus act, in Suzhou, eastern China.
Performing animals in circuses and zoos are enormously popular in China. After years of pressure from animal-welfare groups, the Chinese government has banned animal circuses, and implemented regulations to stop abuse at state-owned zoos, but many trainers say they have not heard of the ban, nor have any intention of stopping. Authorities in Suzhou, which with its 300 troupes is known as the hometown of circus in China, have announced plans for developing alternative circus entertainment, without performing animals.",1st prize,Yongzhi Chu,2015
21,Chollywood,2015 Photo Contest,Contemporary Issues,"15 June, 2011",F:\Temp\2015\Giulio Di Sturco,The Chinese have the ambitious goal to overtake Hollywood with large investments to expand the industry.,1st prize,Giulio Di Sturco,2015
22,Indonesia’s Last Orangutans,2015 Photo Contest,Nature,"16 April, 2014",F:\Temp\2015\Sandra Hoyn,"Sumatra, Indonesia
Angelo, a 14-year-old male orangutan, lies waiting for medical examination, in the Sumatran Orangutan Conservation Program (SOCP) care center in North Sumatra. He was found with air-gun pellets embedded in his body, in a palm-oil plantation. Globally, the demand for palm oil (used in food, cosmetics, and as bio-fuel) is growing rapidly, and Indonesia is a market leader. The loss of their rainforest habitat, largely to make way for palm plantations, has brought orangutans almost to extinction in Indonesia. The SOCP has rescued some 280 orangutans from plantations, poachers and pet-owners, and returned more than 200 to the wild.",3rd prize,Sandra Hoyn,2015
23,Act of Forgiveness,2015 Photo Contest,Spot News,"15 April, 2014",F:\Temp\2015\Arash Khamooshi,"Prison authorities bring Balal to the scaffold.
Although exact figures are not known, Iran is thought to execute more people than any country in the world, apart from China. Hangings are frequently held in public, and sometimes a murder victim’s family may participate in the punishment by pushing the chair from under a condemned prisoner.
On 15 April, a young man identified only as Balal was due to be hanged for stabbing a friend, Abdollah Hosseinzadeh, to death during a street brawl. Hosseinzadeh’s mother was present at the hanging, but at the last minute, instead of pushing the chair, she slapped Balal’s face in an act of symbolic forgiveness. Such an act puts a stop to the execution, though the victim’s family does not have a say in any subsequent jail sentence.",3rd prize,Arash Khamooshi,2015
24,Final Fight for Maidan,2015 Photo Contest,Spot News,"19 February, 2014",F:\Temp\2015\Jérôme Sessini,"After several months of violence, anti-government protesters remained mobilized by holding barricades in Kiev’s Independence Square, known simply as the Maidan.",2nd prize,Jérôme Sessini,2015
25,Crime Without Punishment ,2015 Photo Contest,Spot News,"17 July, 2014",F:\Temp\2015\Jérôme Sessini,"A Malaysia Airlines Boeing 777 bearing 298 people headed from Amsterdam to Kuala Lumpur was shot down on 17 July 2014, apparently by a Russian-made missile.",1st prize,Jérôme Sessini,2015
26,Air Strike on IS Militants,2015 Photo Contest,Spot News,"23 October, 2014",F:\Temp\2015\Bulent Kilic,"Islamic State (IS) group militants stand near an airstrike on Tilsehir hill on the Turkish border with Syria at the village of Yumurtalik, Sanliurfa province, Turkey.",3rd prize,Bulent Kilic,2015
27,Beach Casualties,2015 Photo Contest,Spot News,"16 July, 2014",F:\Temp\2015\Tyler Hicks,"Israeli artillery struck a beach in Gaza City during the country’s 50-day war with Hamas in the summer of 2014, killing four young boys and injuring one young adult.",2nd prize,Tyler Hicks,2015
28,Istanbul Protest,2015 Photo Contest,Spot News,"12 March, 2014",F:\Temp\2015\Bulent Kilic,"A young girl was wounded during clashes between riot police and protestors after the funeral of Berkin Elvan, a 15-year-old boy who died from injuries suffered during anti-government protests.",1st prize,Bulent Kilic,2015
29,Conquering Speed,2015 Photo Contest,Sports,"12 December, 2014",F:\Temp\2015\Sergei Ilnitsky,Ski jumping is a sport of courageous and strong athletes who overcome fear and uncertainty to challenge flight. Years of training help them understand the wind streams and subdue themselves to an unrealistic speed for a human.,2nd prize,Sergei Ilnitsky,2015
30,Ground Pass Holders,2015 Photo Contest,Sports,"24 June, 2014",F:\Temp\2015\Kieran Doherty,"A ball flying above a fence is often the first glimpse a Ground Admissions pass-holder will have before setting eyes on a court at the Wimbledon Championships.
Spectators unable to secure tickets to any of the major show courts at the Wimbledon Championships may make do with a Grounds Admission pass. This entitles them to wander around the outside tennis courts, where there are unreserved seats and standing is allowed. Even so, capacity is limited, and at times spectators may only be admitted as others leave. Most players, except the top seeds, can at some point during the Championships be seen playing on the outside courts.",1st prize,Kieran Doherty,2015
31,63 Not Out,2015 Photo Contest,Sports,"25 November, 2014",F:\Temp\2015\Mark Metcalfe,"Members of the New South Wales team assist batsman Phillip Hughes of the opposing South Australia team, after he was struck by a ball during a cricket match.
Balls delivered by fast bowlers in cricket can surpass speeds of 150 kilometers per hour. Hughes was wearing a helmet, but was hit in an unprotected area just behind his left ear. After undergoing surgery in hospital, Hughes was placed in an induced coma. He died on 27 November, having never regained consciousness, three days before his 26th birthday. His death evoked an enormous reaction, internationally as well as nationally. In a symbolic gesture, the official scorecard for his final match was adjusted from ‘retired hurt’—the usual wording for a player who has left the field after injury—to ‘63 not out’, which would indicate that he was still batting when the match ended.",3rd prize,Mark Metcalfe,2015
32,The Beckham Catch,2015 Photo Contest,Sports,"23 November, 2014",F:\Temp\2015\Al Bello,"Odell Beckham of the New York Giants makes a one-handed touchdown catch, in the second quarter against the Dallas Cowboys at the MetLife Stadium, on 23 November. He made the catch, despite pass interference, while diving backwards with full extension of his right hand using only three fingers. Leading footballers dubbed it the ‘catch of the year’, and Beckham’s jersey from the match was later put on display in the Pro Football Hall of Fame.",2nd prize,Al Bello,2015
33,Orphaned Rhino,2015 Photo Contest,Nature,"23 November, 2014",F:\Temp\2015\Ami Vitale,"A group of young Samburu warriors touch a black rhino for the first time in their lives, at the Lewa Wildlife Conservancy, in northern Kenya. Most people in Kenya never get the opportunity to see the wildlife living around them, especially at such close quarters.",2nd prize,Ami Vitale,2015
34,Cadets,2015 Photo Contest,Portraits,"18 December, 2013",F:\Temp\2015\Paolo Verzone,Portraits of cadets from the most important military academies of Europe.,3rd prize,Paolo Verzone,2015
35,Mindsuckers,2015 Photo Contest,Nature,"19 April, 2012",F:\Temp\2015\Anand Varma,"When a male sheep crab (Loxorhynchus grandis) is infected by Heterosaccus californicus, a parasitic barnacle, it stops developing fighting claws, and its abdomen widens, providing a womb for the barnacle to fill with its brood pouch. Nurtured by the crab, the eggs hatch. Thousands of baby barnacles disperse to infect anew.
Many parasites not only feed off their hosts, but appear to manipulate the host’s behavior in a way that is advantageous to the parasite’s life cycle. Recent research indicates that this influence occurs at a genetic level—certain parasite genes seem to be able to take control of the host’s brain. Research has shown that in some cases a single parasite gene is responsible for altering the host’s behavior, though in most instances it is thought that the phenomenon is brought about by a combination of genes.",1st prize,Anand Varma,2015
36,Vegetables with an Attitude,2015 Photo Contest,Nature,"12 September, 2013",F:\Temp\2015\Christian Ziegler,"A Villose pitcher plant (Nepenthes villosa) growing among orchids, 3,100 meters above sea level, on the slopes of Mount Kinabalu on the island of Borneo. Its pitcher-shaped leaves trap and digest small organisms. Snails often use the pitchers of this species to lay their eggs in—a reliably moist and safe environment that is hard to find on the steep slopes, in harsh sunlight.
Carnivorous plants have evolved in a number of different parts of the world, generally in response to low-nutrient environments. While other plants are struggling to find nutrients such as phosphorus and nitrogen, carnivorous plants gather food in ingenious ways. Until recently, scientists thought all carnivorous plants operated in a similar way, catching insects and digesting them. But we are now discovering plant-animal interaction to be more complex, and to involve all manner of sophisticated symbiotic relationships.",2nd prize,Christian Ziegler,2015
37,Cold Blood Colombia,2015 Photo Contest,Nature,"30 April, 2014",F:\Temp\2015\Paolo Marchetti,"Freshly slaughtered caimans lie in what workers call ‘the hall of sacrifice’, at a Caiman farm in northern Colombia.",3rd prize,Paolo Marchetti,2015
38,Laurinda,2015 Photo Contest,Portraits,"18 May, 2014",F:\Temp\2015\Raphaela Rosella,Laurinda waits in her purple dress for the bus that will take her to Sunday School.,1st prize,Raphaela Rosella,2015
39,The Final Game,2015 Photo Contest,Sports,"14 July, 2014",F:\Temp\2015\Bao Tailiang,"Argentine player Lionel Messi faces the World Cup trophy during the final ceremony at Maracana Stadium, in Rio de Janeiro, Brazil, on 13 July.
Argentina lost to Germany 1-0, after a goal by Mario Götze in extra time. Messi, who is ranked as one of the best footballers in the world, was awarded the Golden Ball, as the tournament’s best player—a decision that sparked controversy, as he had scored no goals in the knock-out stage.",1st prize,Bao Tailiang,2015
40,Disco Girl ,2015 Photo Contest,Portraits,"31 October, 2014",F:\Temp\2015\Lisa Krantz,"Amorie West, dressed as a disco girl, adjusts her gloves before a Halloween party at her housing complex in San Antonio, Texas, USA.",3rd prize,Lisa Krantz,2015
