,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,2017 Photo Contest,Long-Term Projects,"06 March, 2016",F:\Temp\2017\Markus Jokela,Matt Kuhlman's backyard.,3rd prize,Markus Jokela,2017
1,Taking A Stand In Baton Rouge,2017 Photo Contest,Contemporary Issues,"09 July, 2016",F:\Temp\2017\Jonathan Bachman,"Ieisha Evans (27) stands her ground at a rally against police violence against black men, outside the Baton Rouge Police Department in Louisiana, USA, on 9 July. Evans had travelled to Baton Rouge to protest the death of Alton Sterling, who was shot at close range while being held to the ground by two white police officers on 5 July. The fatal shooting of Sterling came at a time of heightened tension in the US over the deaths of black men at the hands of the police. Data collected by The Counted, an initiative set up by The Guardian to record such fatalities, found that in 2016, black males aged 15-34 were nine times more likely than other Americans to be killed by law enforcement officers. Evans was arrested at the protest, but released later that evening.",1st prize,Jonathan Bachman,2017
2,An Iranian Journey,2017 Photo Contest,Long-Term Projects,"21 April, 2013",F:\Temp\2017\Hossein Fatemi,Two young couples sit in a tent smoking shisha.,2nd prize,Hossein Fatemi,2017
3,We Are Not Taking Any Prisoners,2017 Photo Contest,General News,"26 November, 2016",F:\Temp\2017\Alessio Romenzi,Fighters affiliated to the Libyan government take aim at IS positions in the Al Jiza neighborhood of Sirte.,3rd prize,Alessio Romenzi,2017
4,Iraq's Battle to Reclaim Its Cities,2017 Photo Contest,General News,"12 November, 2016",F:\Temp\2017\Sergey Ponomarev,"A family flees Mosul, as oil fields burn in Qayyarah, 60 kilometers south of the city.",2nd prize,Sergey Ponomarev,2017
5,They Are Slaughtering Us like Animals,2017 Photo Contest,General News,"09 October, 2016",F:\Temp\2017\Daniel Berehulak,"Jimji Bolasa (6) cries before funeral parlor workers remove the body of her father, Jimboy, who was found dead after being abducted by unidentified men. Bolasa and a neighbor were abducted, and their bodies discovered under a bridge around an hour later, with gunshot wounds and showing signs of torture. Police allege the men were drug dealers, while neighbors say Bolasa had already given himself in.",1st prize,Daniel Berehulak,2017
6,The Philippines' Most Overcrowded Jail,2017 Photo Contest,General News,"21 July, 2016",F:\Temp\2017\Noel Celis,"Prisoners sleep on a staircase inside the Quezon City Jail, at night in Manila, Philippines. The jail was built in 1953 to house 800 people, though the UN says it should accommodate no more than 278. In August, Time reported that there were some 3,800 inmates at Quezon.
Jail populations in the Philippines rose sharply after newly inaugurated President Rodrigo Duterte announced an all-out war on drugs.",3rd prize,Noel Celis,2017
7,Left Alone,2017 Photo Contest,General News,"28 July, 2016",F:\Temp\2017\Santi Palacios,"An 11-year-old girl (left) from Nigeria, comforts her younger brother aboard a rescue boat after they had been picked up from an overcrowded dinghy in the Mediterranean Sea, en route to Italy, about 23 kilometers north of Sabratha, Libya in July. Their mother had died in Libya, after crossing the Sahara.
According to the EU border agency Frontex, arrivals of refugees in Italy from North Africa hit an all-time high of 181,000 in 2016. UNICEF said that some 25,800 of those were unaccompanied children.",2nd prize,Santi Palacios,2017
8,Isle of Salvation,2017 Photo Contest,Daily Life,"05 October, 2015",F:\Temp\2017\Francesco Comello,Maria and Alexandra help harvest potatoes. They have become inseparable friends.,3rd prize,Francesco Comello,2017
9,The Silent Victims of a Forgotten War,2017 Photo Contest,Daily Life,"29 March, 2016",F:\Temp\2017\Paula Bronstein,"Najiba holds her nephew Shabir (2), who was injured in a bomb blast that killed his sister, in Kabul, Afghanistan, in March. The bomb exploded in a relatively peaceful part of Kabul while Shabir’s mother was walking the children to school.
Although the 2001-2014 Afghan War has formally ended, conflict continues in the country, with the Taliban as the chief insurgents and the US and other international forces backing the Afghan military. Fighting moved closer to villages and cities, with an upsurge in suicide bombings and targeted attacks aimed at destabilizing civilian life. According to the UN, child casualties rose 24 percent in 2016, to 2,589 wounded and 923 killed.",1st prize,Paula Bronstein,2017
10,Cuba on the Edge of Change,2017 Photo Contest,Daily Life,"23 January, 2016",F:\Temp\2017\Tomás Munita,"A woman shares a taxi ride to Santiago de Cuba, in the southeast of the country.",1st prize,Tomás Munita,2017
11,China’s Wild West,2017 Photo Contest,Daily Life,"03 June, 2016",F:\Temp\2017\Matthieu Paley,"A Uyghur woman carries money in her stocking, travelling along the old Silk Road by train, between Yarkand and Kashgar, in Xinjiang autonomous region, western China.
Uyghur women, while Muslim, do not always adhere to a conservative dress code. The Xinjiang region is home to a diverse ethnic population, with about 46 percent being Uyghur.",3rd prize,Matthieu Paley,2017
12,Sweat Makes Champions,2017 Photo Contest,Daily Life,"15 July, 2016",F:\Temp\2017\Wang Tiejun,"Students of a gymnastics school in Xuzhou, China, do toe-pressure training for 30 minutes in the afternoon.
There are over 2,000 sports schools in China, which have produced 95 percent of the country’s Olympians. Training is intense, and in today’s China fewer parents are willing to let their children endure such grueling routines. Some schools have closed, while others are adjusting the way they work.",2nd prize,Wang Tiejun,2017
13,Not Specified,2017 Photo Contest,Contemporary Issues,"
Eduarda lives with seven siblings in one of the abandoned apartment blocks of ‘Jambalaya’ in Campo Grande, Rio de Janeiro, Brazil.
",F:\Temp\2017\Peter Bauza,"Eduarda lives with seven siblings in one of the abandoned apartment blocks of ‘Jambalaya’ in Campo Grande, Rio de Janeiro, Brazil.",3rd prize,Peter Bauza,2017
14,Victims of the Zika Virus,2017 Photo Contest,Contemporary Issues,"19 October, 2016",F:\Temp\2017\Lalo de Almeida,"Raquel de Araújo cradles her twins Heloá and Heloisa, both born with microcephaly, as their sister Marcela looks on, in Areia, Paraíba, northeastern Brazil.",2nd prize,Lalo de Almeida,2017
15,Standing Rock,2017 Photo Contest,Contemporary Issues,"05 December, 2016",F:\Temp\2017\Amber Bracken,"People carry an American and a Mohawk Warrior Society flag at a camp near the Dakota Access Pipeline, in Cannon Ball, North Dakota, USA.",1st prize,Amber Bracken,2017
16,The Libyan Migrant Trap,2017 Photo Contest,Contemporary Issues,"17 August, 2016",F:\Temp\2017\Daniel Etter,"Nigerian refugees cry and embrace in a detention center housing hundreds of women in Surman, Libya.
Refugees in such centers face indefinite detention. Many report sexual and physical violence, and insufficient food and water. A large number try to reach Europe by being smuggled over the Mediterranean Sea. According to the International Organization for Migration, the number of Nigerian women travelling by boat from Libya to Italy almost doubled in 2016, to 11,009.",3rd prize,Daniel Etter,2017
17,Migrant Crossing,2017 Photo Contest,Contemporary Issues,"14 March, 2016",F:\Temp\2017\Vadim Ghirda,"A woman is supported as refugees cross the Mala Reka river, near the Greek border town of Idomeni. They were attempting a route into Macedonia that would bypass a newly erected border fence.
Macedonia, Croatia and Slovenia—countries that lie between Greece and preferred refugee destinations in northern Europe—had all closed their borders five days earlier. Hundreds of thousands of refugees had traveled through Macedonia the previous year, and the UN said that the build-up of people in a holding-camp at Idomeni was turning into a humanitarian disaster.",2nd prize,Vadim Ghirda,2017
18,Caretta Caretta Trapped,2017 Photo Contest,Nature,"08 June, 2016",F:\Temp\2017\Francis Pérez,"A loggerhead sea turtle swims entangled in abandoned fishing gear, off the coast of Tenerife, Canary Islands, in the northeast Atlantic Ocean.
The loggerhead is classed as a ‘vulnerable’ species globally by the International Union for Conservation of Nature, but the northeast Atlantic subpopulation is listed as ‘endangered’. Entrapment in nets intended for other species, and in gear left abandoned by fishing boats is the prime threat to marine turtles, followed by human consumption of meat and eggs, and coastal development affecting their habitat.",1st prize,Francis Pérez,2017
19,Out-of-the-Way,2017 Photo Contest,Daily Life,"17 March, 2016",F:\Temp\2017\Elena Anosova,Snowmobile tracks stretch across the snow. People also use skis and horses for transportation.,2nd prize,Elena Anosova,2017
