,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Mubarak Steps Down,2012 Photo Contest,General News,"10 February, 2011",F:\Temp\2012\Alex Majoli,"Demonstrators on Tahrir Square, Cairo, react to a televised speech on 10 February, in which contrary to prior expectations, Egypt’s president Hosni Mubarak said he would not give up power.",1st prize,Alex Majoli,2012
1,Never Let You Go,2012 Photo Contest,Daily Life,"28 April, 2009",F:\Temp\2012\Alejandro Kirchuk,"Marcos and Monica were married for 65 years and, for much of that time, lived in the same apartment in Buenos Aires. In 2007, aged 84, Monica was diagnosed with Alzheimer’s. Since that moment, Marcos devoted his time to taking care of her.",1st prize,Alejandro Kirchuk,2012
2,Bolivianas,2012 Photo Contest,Daily Life,"21 January, 2010",F:\Temp\2012\Pietro Paolini,"Bolivia is home to some 36 indigenous groups. The country’s president, Evo Morales, the first indigenous Bolivian to hold that office, is leader of the Movement towards Socialism party, whose long-held goal has been the integration of indigenous communities into national life.",2nd prize,Pietro Paolini,2012
3,Pastoral,2012 Photo Contest,Daily Life,"01 July, 2010",F:\Temp\2012\Alexander Gronsky,"People in Moscow, Russia relax in rural patches within the city’s suburban sprawl.",3rd prize,Alexander Gronsky,2012
4,Earthquake in Japan,2012 Photo Contest,General News,"15 April, 2011",F:\Temp\2012\Lars Lindqvist,"Boats rest on a pier at Ishinomaki port, in Miyagi prefecture, on 15 April, more than a month after a tsunami devastated large areas of northeastern Japan.",2nd prize,Lars Lindqvist,2012
5,Cliff-Climbing Polar Bear Attempting to Eat Seabird Eggs,2012 Photo Contest,Nature,"30 July, 2011",F:\Temp\2012\Jenny E. Ross,"A young male polar bear climbs on a cliff face above the ocean, attempting unsuccessfully to feed on eggs from the nests of Brünnich’s guillemots, in late July.",1st prize,Jenny E. Ross,2012
6,Battle for Libya,2012 Photo Contest,General News,"11 March, 2011",F:\Temp\2012\Rémi Ochlik,"After security forces fired live rounds on demonstrators in Libya’s second city of Benghazi, in mid-February, anti-government protests escalated. Over the next few months, opposition to the rule of long-time dictator Colonel Muammar Gaddafi became a full-scale national revolt.",1st prize,Rémi Ochlik,2012
7,Tsunami Aftermath,2012 Photo Contest,General News,"14 April, 2011",F:\Temp\2012\Paolo Pellegrin,Tsunami waves created by a massive earthquake off the northeastern shores of Japan caused wide-ranging destruction along the coast. Overwhelming the three worst-hit prefectures with an estimated 22.63 million tons of debris.,2nd prize,Paolo Pellegrin,2012
8,Japan's Nuclear Refugees,2012 Photo Contest,General News,"07 April, 2011",F:\Temp\2012\David Guttenfelder,"The Tohoku earthquake and subsequent tsunami in Japan damaged vital cooling systems at the Fukushima Daiichi nuclear power plant. A 20-kilometer exclusion zone was declared around the plant, and more than 80,000 people were evacuated.",3rd prize,David Guttenfelder,2012
9,Radio Haiti,2012 Photo Contest,Daily Life,"15 August, 2011",F:\Temp\2012\Paolo Woods,"More than 50 percent of Haitians are illiterate, and only 25 percent have regular access to electricity, which means that battery-operated radios are the country’s main medium.",3rd prize,Paolo Woods,2012
10,Tsunami,2012 Photo Contest,General News,"13 March, 2011",F:\Temp\2012\Toshiyuki Tsunenari,"A woman cries amidst the ruins of the town of Natori, on 13 March, two days after the tsunami that devastated much of Japan’s northeastern coast.",3rd prize,Toshiyuki Tsunenari,2012
11,A mouthful,2012 Photo Contest,Daily Life,"27 April, 2011",Not Found,"A young Wagenya girl catches fish using an age-old method, diving into rapids on the Congo River with a net, and holding her catch in her mouth.",2nd prize,Johnny Haglund,2012
12,Afghanistan,2012 Photo Contest,Arts and Entertainment,"24 June, 2011",F:\Temp\2012\David Goldman,"Canadian Forces soldier Corporal Ben Vandandaigue plays on a drum kit at Forward Operating Base Sperwan Ghar, overlooking the Panjwai district of Kandahar province, Afghanistan.",1st prize,David Goldman,2012
13,Drug Cartel's War,2012 Photo Contest,Contemporary Issues,"08 January, 2011",F:\Temp\2012\Pedro Pardo,"Acapulco, the Mexican seaside resort much favored by the 1960s jetset, has become a battleground in the wars between drug cartels that are afflicting the country.",3rd prize,Pedro Pardo,2012
14,Hanging in Iran,2012 Photo Contest,Contemporary Issues,"26 May, 2011",F:\Temp\2012\Ebrahim Noroozi,"Public executions in Iran, alleged to have the second-highest execution rate in the world after China, are usually conducted as punishment for murder or rape",2nd prize,Ebrahim Noroozi,2012
15,Child Brides,2012 Photo Contest,Contemporary Issues,"10 June, 2011",Not Found,"Every year, all over the world, millions of girls below the age of 18 undergo marriages initiated by their families. The tradition of child marriage spans continents, religion, and class.",1st prize,Stephanie Sinclair,2012
16,Not Specified,2012 Photo Contest,Contemporary Issues,"27 March, 2011",F:\Temp\2012\Simona Ghizzoni,"Jamila (40) was injured by a missile that hit her legs, during ‘Operation Cast Lead’ in 2008.",3rd prize,Simona Ghizzoni,2012
17,Afrikaner Blood,2012 Photo Contest,Contemporary Issues,"05 April, 2011",F:\Temp\2012\Ilvy Njiokiktjien,"An instructor at the Kommandokorps training camp in Carolina, South Africa, demonstrates techniques of gun use.",2nd prize,Ilvy Njiokiktjien,2012
