,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Living Among What's Left Behind,2019 Photo Contest,Environment,"02 October, 2018",F:\Temp\2019\Mário Cruz,"A child who collects recyclable material lies on a mattress surrounded by garbage
floating on the Pasig River, in Manila, Philippines.

The Pasig River was declared biologically dead in the 1990s, due to a combination
of industrial pollution and waste being dumped by nearby communities living without adequate sanitation infrastructure. A 2017 report by Nature Communications cites the Pasig as one of 20 most polluted rivers in the world, with up to 63,700 tons of plastic deposited into the ocean each year. Efforts are being made to clean up the Pasig, which were recognized by an international prize in 2018, but in parts of the river the waste is still so dense that it is possible to walk on top of the garbage.",3rd Prize,Mário Cruz,2019
1,The Lake Chad Crisis,2019 Photo Contest,Environment,"16 October, 2018",F:\Temp\2019\Marco Gualazzini,"Patients attend Bol Hospital, in Bol, Chad.",1st Prize,Marco Gualazzini,2019
2,God’s Honey,2019 Photo Contest,Environment,"04 November, 2018",F:\Temp\2019\Nadia Shira Cohen,"Beekeepers, led by Russel Armin Balan, tend their hives in Tinúm, Yucatán, Mexico.",2nd Prize,Nadia Shira Cohen,2019
3,Ghosts of Guano Islands,2019 Photo Contest,Environment,"08 August, 2017",F:\Temp\2019\Thomas P. Peschak,"Pelicans nest alongside an image projected onto an old mining building, on Isla Guañape Norte, Peru.",3rd Prize,Thomas P. Peschak,2019
4,A Fight for Democracy,2019 Photo Contest,General News,"12 January, 2018",F:\Temp\2019\John  Wessels,A man attends a church service at Kinshasa cathedral to commemorate victims of a crackdown on a New Year’s Eve protest calling for President Kabila’s resignation. At least eight people had been killed during the security force operation on a march organized by the church.,2nd Prize,John  Wessels,2019
5,Still Life Volcano,2019 Photo Contest,General News,"08 June, 2018",F:\Temp\2019\Daniele Volpe,"The living-room of an abandoned home in San Miguel Los Lotes, Guatemala, lies covered in ash after the eruption of Volcán de Fuego on 3 June.

Fuego, around 40 km southwest of the capital Guatemala City, is one of Latin America’s most active volcanoes, and has been erupting periodically since 2002. It is monitored by volcanologists, but this eruption came without warning. People living around the volcano, many at Sunday lunch, were surprised by the suddenness of the event, as Fuego spewed red-hot lava, ash, poisonous gases and flaming debris onto villages below. The eruption was one of the deadliest in Guatemala for over a century. Guatemala’s National Institute of Forensic Sciences reported the recovery of 318 bodies, over a third of them unidentified.",2nd Prize,Daniele Volpe,2019
6,Unilateral,2019 Photo Contest,General News,"24 April, 2018",F:\Temp\2019\Brendan Smialowski,"US President Donald Trump leads France’s President Emmanuel Macron by the hand while walking to the Oval Office of the White House, in Washington DC.

President Macron’s three-day visit to the United States was the first official state visit of the Trump administration. Unexpectedly, the two presidents’ body language went beyond the norm for such visits, bordering on the intimate. The leaders also praised each other effusively. The 2015 international nuclear agreement with Iran was one of the main topics under discussion. Macron aimed to persuade Trump to adhere to the deal, which limited Iran’s nuclear program in return for a lifting of sanctions, but failed. On 8 May, President Trump withdrew from the agreement, breaking with European allies. The relationship between the two leaders appears to have soured, with Trump later attacking Macron on Twitter.",3rd Prize,Brendan Smialowski,2019
7,Yemen Crisis,2019 Photo Contest,General News,"20 May, 2018",F:\Temp\2019\Lorenzo  Tugnoli,"Children sit at the entrance to a tent in a camp for internally displaced people in Meshqafah, near Aden, Yemen.",1st Prize,Lorenzo  Tugnoli,2019
8,Evacuated,2019 Photo Contest,Environment,"10 November, 2018",F:\Temp\2019\Wally Skalij,"Evacuated horses stand tied to a pole, as smoke from a wildfire billows above them, on Zuma Beach, in Malibu, California, USA, on 10 November.

The 2018 wildfire season in California was the deadliest and most destructive on record, burning an area of more than 676,000 hectares. While scientists pointed to the effects of climate change as a cause, US President Donald Trump blamed forest management.",2nd Prize,Wally Skalij,2019
9,Fighting Ebola and Conflict,2019 Photo Contest,General News,"13 November, 2018",F:\Temp\2019\John  Wessels,"MONUSCO soldiers patrol against the ADF, a partly Islamist group of Ugandan origin, in Beni, DRC.",3rd Prize,John  Wessels,2019
