,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,2002 Photo Contest,Nature,"15 April, 2001",F:\Temp\2002\Genevieve Renson,"Beneath cascading water, a man catches a rare Goliath frog. Reaching lengths of 90cm, the Goliath is the largest known frog. In western central Africa, it inhabits swiftly-moving mountain streams. Prized by local tribes as food, the survival of the species is under threat. Its habitat is also in danger of disappearing, as rainforests are cleared for farms or villages.",1st prize,Genevieve Renson,2002
1,Not Specified,2002 Photo Contest,General News,"01 October, 2001",F:\Temp\2002\Paolo Pellegrin,"In a village near Mascara, Algeria, local men patrol alongside the government's elite Special Intervention Group (GIS), protecting the village from terrorist attacks of the Armed Islamic Group (GIA). Algeria's bloody guerrilla warfare has cost 150,000 lives, prompting civilians to take up arms. Amid a recent history of massacres, local communities seek to protect themselves from attacks that come at night.",1st prize,Paolo Pellegrin,2002
2,Not Specified,2002 Photo Contest,General News,"06 February, 2001",F:\Temp\2002\Tom Stoddart,"A woman waits for help outside her home. One million people were left homeless when an earthquake measuring 7.9 on the Richter scale struck Gujarat on January 26. It lasted just 30 seconds, but killed 30,000 people. In the following weeks, survivors, aided by rescue workers, recovered bodies under the rubble of their homes. The earthquake came during the winter, leaving the homeless cold at night, and at risk of disease. Densely populated towns near the earthquake's epicenter were heavily damaged.",2nd prize,Tom Stoddart,2002
3,Not Specified,2002 Photo Contest,General News,"23 February, 2001",F:\Temp\2002\Mat Jacob,"In February, the rebel Zapatista movement embarked on a tour of Mexican towns, to deliver their message directly to the people. A hostile relationship remained between the government and the group, which demanded the recognition of indigenous communities' rights. Lacking the resources for a media campaign, masked Zapatista delegates took their march to 36 towns, ending in Mexico City. Along the route, those sympathetic to the movement waved flags, and cheered them on at public rallies.",3rd prize,Mat Jacob,2002
4,Not Specified,2002 Photo Contest,Nature,"22 January, 2001",F:\Temp\2002\Jim Lavrakas,"A rainbow trout peers from the gullet of a northern pike. The bigger fish swallowed the tiny trout alive in an aquarium, in a demonstration designed to educate the public about the pike's predatory nature. Alaska's Fish and Game Department suspected pike had been illegally introduced into the city's popular fishing lakes, far from its native waters. Once established, the voracious pike eat trout and salmon stocks sought by local anglers.",2nd prize,Jim Lavrakas,2002
5,Not Specified,2002 Photo Contest,People in the News,"11 September, 2001",F:\Temp\2002\Gulnara Samoilova,"After the collapse of the World Trade Center's twin towers, dazed survivors help each other through the dust and debris covering lower Manhattan. In a devastating attack, two hijacked airplanes crashed into the 110-storey towers, reducing them to rubble.",1st prize,Gulnara Samoilova,2002
6,Not Specified,2002 Photo Contest,Nature,"26 March, 2001",F:\Temp\2002\Jeff Mitchell,"Piles of dead animals await incineration. An outbreak of Foot and Mouth Disease devastated farms across the country. Thousands of animals were slaughtered, bulldozed and buried to halt the spread of the disease. Cases were also detected in other European countries, prompting widespread debate about modern farming methods. Cows, sheep and pigs were destroyed in burning pits on farms from Scotland to England. During the crisis, tensions rose between farmers and agricultural advisers, when apparently healthy animals were also killed, to prevent further outbreaks.",1st prize,Jeff Mitchell,2002
7,Not Specified,2002 Photo Contest,Nature,"01 June, 2001",F:\Temp\2002\József L. Szentpéteri,"Emerging from the Tisza River, the hatched Long-tailed Mayfly has just a few hours in which to fly, mate and die. Over a few days, larvae that lay for three years on the bottom of the river rise to the surface within an hour of each other. Millions of larvae cloud the water, before hatching into large winged mayflies. They then swarm in a dense group, searching for partners, and laying eggs - but also become food for the river's other creatures. An endangered species, the mayfly is at risk from fishermen seeking bait, and polluted waters.",2nd prize,József L. Szentpéteri,2002
8,Not Specified,2002 Photo Contest,Nature,"25 December, 2001",F:\Temp\2002\Dean Sewell,"At 4am on Christmas Eve, a single lightning bolt ignited one of the most destructive bushfires in Australia's history. Within days, more than 100 fires were burning out of control near Sydney, forcing the evacuation of 3000 people. Arson was suspected as new fires broke out, testing the efforts of 10,000 firefighters battling the flames. Hot, dry and windy weather combined to fuel the bushfires, producing the worst conditions possible for firefighters.",3rd prize,Dean Sewell,2002
9,Not Specified,2002 Photo Contest,Others,"11 October, 2001",F:\Temp\2002\Aleksander Nordahl,"In Khwaja Bahawudin, northern Afghanistan, a girl smiles at the camera, while her two older sisters hide from the photographer. Young women are forbidden to appear unveiled in front of men in this area, which is controlled by the Northern Alliance. Parents decide when a girl is at the age to start wearing a veil.

Aleksander Nordahl: 'I took this picture a few weeks after 11 September 2001, at a time when world attention was focused on Afghanistan. The reporter and I concentrated mostly on daily life and behind the front stories, and on the terrible humanitarian situation. The most important stories for me, in Afghanistan and elsewhere, are those about children in situations of war and disaster. The children are often the first to die, and their thoughts and feelings hardly count. I hope that people will recognize them in my photos.'
(World Press Photo retrospective Children's Jury exhibition, 2003)",Individual awards,Aleksander Nordahl,2002
