,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Temple and Half-Mountain,2021 Photo Contest,Environment,"15 July, 2020",F:\Temp\2021\Hkun Lat,"A Buddhist temple occupies one half of a mountain, while the other has been carved away by heavy machinery mining for jade, in Hpakant, Kachin State.",2nd Prize,Hkun Lat,2021
1,Climate Crisis Solutions: Collecting Drinking Water in Kalabogi,2021 Photo Contest,Environment,"27 September, 2020",F:\Temp\2021\K M Asad,"A woman draws drinking water from a cloth set out to catch rainwater, in the village of Kalabogi, in the Sundarbans mangrove forest, Bay of Bengal, Bangladesh, on 27 September.",3rd Prize,K M Asad,2021
2,Injured Man After Port Explosion in Beirut,2021 Photo Contest,Not Specified,"04 August, 2020",F:\Temp\2021\Lorenzo  Tugnoli,"An injured man stands near the site of a massive explosion in the port of Beirut, Lebanon, while firefighters work to put out the fires that engulfed the warehouses after the explosion.",World Press Photo of the Year Nominee,Lorenzo  Tugnoli,2021
3,Pantanal Ablaze,2021 Photo Contest,Environment,"04 October, 2020",F:\Temp\2021\Lalo de Almeida,"A howler monkey (Alouatta) is left carbonized by a forest fire that swept through the Santa Tereza farm, in the Paraguay River area of the Pantanal, in the state of Mato Grosso do Sul. The fires in the region were so intense that not even the fastest animals were able to escape the flames.",1st Prize,Lalo de Almeida,2021
4,One Way to Fight Climate Change: Make Your Own Glaciers,2021 Photo Contest,Environment,"19 March, 2019",F:\Temp\2021\Ciril Jazbec,The youth group that built this ice stupa in the village of Gya installed a café in its base. They used the proceeds to take the village elders on a pilgrimage.,2nd Prize,Ciril Jazbec,2021
5,The First Embrace,2021 Photo Contest,General News,"05 August, 2020",F:\Temp\2021\Mads Nissen,"Rosa Luzia Lunardi (85) is embraced by nurse Adriana Silva da Costa Souza, at Viva Bem care home, São Paulo, Brazil.",1st Prize,Mads Nissen,2021
6,The Human Cost of COVID-19,2021 Photo Contest,General News,"18 April, 2020",F:\Temp\2021\Joshua Irwandi,"The body of a suspected coronavirus victim, wrapped in yellow infectious-waste plastic, lies awaiting a body bag, in a hospital in Indonesia.",2nd Prize,Joshua Irwandi,2021
7,Ceremony to Mourn Qasem Soleimani in Tehran,2021 Photo Contest,General News,"04 January, 2020",F:\Temp\2021\Newsha Tavakolian,"Women mourn the death of Major General Qasem Soleimani, at a commemoration service in Tehran, Iran.",3rd Prize,Newsha Tavakolian,2021
8,Paradise Lost,2021 Photo Contest,General News,"14 November, 2020",F:\Temp\2021\Valery Melnikov,"Anushavan (62) stands in a pomegranate orchard in the yard of his home, in the village of Ukhtasar, Nagorno-Karabakh. He holds a Kalashnikov assault rifle kept from the First Nagorno-Karabakh War.",1st Prize,Valery Melnikov,2021
9,California Sea Lion Plays with Mask,2021 Photo Contest,Environment,"19 November, 2020",F:\Temp\2021\Ralph Pace,"A curious California sea lion swims towards a face mask at the Breakwater dive site in Monterey, California, USA.",1st Prize,Ralph Pace,2021
10,Inside the Spanish Pork Industry: The Pig Factory of Europe,2021 Photo Contest,Environment,"09 November, 2019",F:\Temp\2021\Aitor Garmendia,"An animal-rights investigator explores the perimeter of an intensive pig farm in Castilla-La Mancha, in order to gain access to the farm and document the living conditions of the animals.",3rd Prize,Aitor Garmendia,2021
11,The Aftermath of the North East Delhi Riots,2021 Photo Contest,Contemporary Issues,"03 March, 2020",F:\Temp\2021\Zishaan A Latif,"This project depicts properties in the Shiv Vihar quarter of North East Delhi, India, on 3 March, a few days after sectarian riots in the district. India’s National Register of Citizens (NRC), a register containing names of all ‘genuine’ Indian citizens, was first prepared in 1951 to deal with issues regarding illegal migrants in the border state of Assam. In 2019, the ruling Hindu nationalist Bharatiya Janata Party (BJP) proposed that the register be extended to cover the whole of India, and on 12 December 2019, parliament passed a Citizenship Amendment Act (CAA) to this effect. The new law allowed Hindus and other non-Muslims in Assam who were unable to prove their citizenship status to be included in the NRC, but left Muslims off the registry. This sparked peaceful protests locally, which spread nationwide. In late February 2020, protests turned to rioting in areas of North East Delhi, in what became the worst sectarian violence in the Indian capital in decades. At least 53 people, mostly Muslims, were killed and property was destroyed.",3rd Prize,Zishaan A Latif,2021
12,Cross-Border Love,2021 Photo Contest,General News,"25 April, 2020",F:\Temp\2021\Roland Schmid,"A Swiss-German couple meets at the closed border on Lettackerweg, in Riehen, Switzerland.",2nd Prize,Roland Schmid,2021
13,Sakhawood,2021 Photo Contest,Contemporary Issues,"06 August, 2019",F:\Temp\2021\Alexey Vasilyev,"A film crew shoots the second part of The Old Beyberikeen With Five Cows, which is based on an old folktale, in Sakha, Russian Federation. The first part of the film, directed by Konstantin Timofeev, was a top-ten box-office hit earlier in 2019.",1st Prize,Alexey Vasilyev,2021
14,Resting Soldier,2021 Photo Contest,Contemporary Issues,"31 October, 2020",F:\Temp\2021\Vaghinak Ghazaryan,"A soldier lies in a trench, resting on a plastic cover, in the northeastern part of Syunik, Nerkin Khndzoresk, Armenia.",3rd Prize,Vaghinak Ghazaryan,2021
15,Doctor Peyo and Mister Hassen,2021 Photo Contest,Contemporary Issues,"30 November, 2020",F:\Temp\2021\Jeremy Lempin,"Marion (24), who has metastatic cancer, embraces her son Ethan (7) in the presence of Peyo, a horse used in animal-assisted therapy, in the Séléne Palliative Care Unit at the Centre Hospitalier de Calais, in Calais, France.",2nd Prize,Jeremy Lempin,2021
16,"Yemen: Hunger, Another War Wound",2021 Photo Contest,Contemporary Issues,"12 February, 2020",F:\Temp\2021\Pablo Tosco,"Fatima and her son prepare a fishing net on a boat in Khor Omeira bay, Yemen.",1st Prize,Pablo Tosco,2021
17,Paradise Lost,2021 Photo Contest,Not Specified,"14 November, 2020",F:\Temp\2021\Valery Melnikov,"Anushavan (62) stands in a pomegranate orchard in the yard of his home, in the village of Ukhtasar, Nagorno-Karabakh. He holds a Kalashnikov assault rifle kept from the First Nagorno-Karabakh War.",World Press Photo Story of the Year Nominee,Valery Melnikov,2021
18,Those Who Stay Will Be Champions,2021 Photo Contest,Not Specified,"14 February, 2019",F:\Temp\2021\Chris Donovan,Flint Jaguars player Dana Homes high-fives one of his coaches as he leaves the locker room for warm-up.,World Press Photo Story of the Year Nominee,Chris Donovan,2021
19,Habibi,2021 Photo Contest,Not Specified,"17 August, 2015",F:\Temp\2021\Antonio Faccilongo,"Nael al-Barghouthi’s suit remains hanging in his bedroom in Kobar, near Ramallah, Palestine. Al-Barghouthi’s wife, Iman Nafi, keeps all her husband’s clothes and belongings in place. Al-Barghouthi was arrested in 1978 after an anti-Israel commando operation. He was released in 2011, married Iman Nafi, but re-arrested in 2014 and sentenced to life imprisonment. He has spent more than 40 years in prison—the longest-serving Palestinian inmate in Israeli jails.",World Press Photo Story of the Year Nominee,Antonio Faccilongo,2021
20,Leaving Home in Nagorno-Karabakh,2021 Photo Contest,Not Specified,"28 November, 2020",F:\Temp\2021\Valery Melnikov,"Azat Gevorkyan and his wife Anaik are pictured before leaving their home in Lachin, Nagorno-Karabakh, the final district to be returned to Azerbaijani control following the Second Nagorno-Karabakh War.",World Press Photo of the Year Nominee,Valery Melnikov,2021
21,The Transition: Ignat,2021 Photo Contest,Not Specified,"23 April, 2020",F:\Temp\2021\Oleg Ponomarev,"Ignat, a transgender man, sits with his girlfriend Maria in Saint Petersburg, Russia.",World Press Photo of the Year Nominee,Oleg Ponomarev,2021
22,The First Embrace,2021 Photo Contest,Not Specified,"05 August, 2020",F:\Temp\2021\Mads Nissen,"Rosa Luzia Lunardi (85) is embraced by nurse Adriana Silva da Costa Souza, at Viva Bem care home, São Paulo, Brazil.",World Press Photo of the Year Nominee,Mads Nissen,2021
23,Fighting Locust Invasion in East Africa,2021 Photo Contest,Not Specified,"24 April, 2020",F:\Temp\2021\Luis Tato,"Henry Lenayasa, chief of the settlement of Archers Post, in Samburu County, Kenya, tries to scare away a massive swarm of locusts ravaging grazing area, on 24 April. Locust swarms devastated large areas of land, just as the coronavirus outbreak had begun to disrupt livelihoods.",World Press Photo of the Year Nominee,Luis Tato,2021
24,Islamic State’s Yazidi Survivors,2021 Photo Contest,Contemporary Issues,"09 September, 2019",F:\Temp\2021\Maya Alleruzzo,"Layla Taloo poses for a portrait at her home in Sharya, Iraq, in the full-face veil and abaya she wore while enslaved for two-and-a-half years by Islamic State militants.",2nd Prize,Maya Alleruzzo,2021
25,COVID-19 Pandemic in France,2021 Photo Contest,General News,"08 May, 2020",F:\Temp\2021\Laurence Geai,"The Place de la Concorde, one of Paris’s major squares, lies deserted.",3rd Prize,Laurence Geai,2021
26,COVID-19 First Responder,2021 Photo Contest,Portraits,"19 May, 2020",F:\Temp\2021\Ivan Macias,"A doctor stands at the end of her shift, the marks left by a protective mask and goggles clearly visible on her face, in Mexico City, Mexico.",2nd Prize,Ivan Macias,2021
27,Reborn,2021 Photo Contest,Long-Term Projects,"22 February, 2015",F:\Temp\2021\Karolina Jonderko,"Reborn dolls lie set out for ‘adoption’, at a doll fair at the Brentwood Holiday Inn, Brentwood, UK.",2nd Prize,Karolina Jonderko,2021
28,Habibi,2021 Photo Contest,Long-Term Projects,"17 August, 2015",F:\Temp\2021\Antonio Faccilongo,"Nael al-Barghouthi’s suit remains hanging in his bedroom in Kobar, near Ramallah, Palestine. Al-Barghouthi’s wife, Iman Nafi, keeps all her husband’s clothes and belongings in place. Al-Barghouthi was arrested in 1978 after an anti-Israel commando operation. He was released in 2011, married Iman Nafi, but re-arrested in 2014 and sentenced to life imprisonment. He has spent more than 40 years in prison—the longest-serving Palestinian inmate in Israeli jails.",1st Prize,Antonio Faccilongo,2021
29,Minneapolis Unrest: The George Floyd Aftermath,2021 Photo Contest,Spot News,"28 May, 2020",F:\Temp\2021\John Minchillo,"Protesters demonstrate outside of the burning Minneapolis Police Department 3rd Precinct, in Minneapolis, Minnesota, USA. With protesters surrounding the building, firefighters couldn’t reach the station, and it was left to burn through the night.",3rd Prize,John Minchillo,2021
30,Presidential Vacancy,2021 Photo Contest,Spot News,"12 November, 2020",F:\Temp\2021\Ernesto Benavides,"Demonstrators confront riot police who have formed a blockade to prevent them from reaching the Peruvian Congress building, in Lima, Peru.",2nd Prize,Ernesto Benavides,2021
31,Port Explosion in Beirut,2021 Photo Contest,Spot News,"04 August, 2020",F:\Temp\2021\Lorenzo  Tugnoli,"Firefighters work to put out the fires that engulfed warehouses in Beirut, Lebanon, after a massive explosion in the port. Up to ten firefighters died in the blast.",1st Prize,Lorenzo  Tugnoli,2021
32,Forest Fire,2021 Photo Contest,Spot News,"07 September, 2020",F:\Temp\2021\Nuno Andre Ferreira,"A child sits inside a car close by a forest fire in Oliveira de Frades, Portugal.",3rd Prize,Nuno Andre Ferreira,2021
33,Waiting for Release at a Temporary Detention Center in Belarus,2021 Photo Contest,Spot News,"22 July, 2020",F:\Temp\2021\Nadia Buzhan,"Olga Sieviaryniec waits for her husband Paval outside a detention center on Akrestsin Street, Minsk, Belarus.",2nd Prize,Nadia Buzhan,2021
34,Emancipation Memorial Debate,2021 Photo Contest,Spot News,"25 June, 2020",F:\Temp\2021\Evelyn Hockstein,"A man and woman disagree on the removal of the Emancipation Memorial, in Lincoln Park, Washington DC, USA.",1st Prize,Evelyn Hockstein,2021
35,Thoughts of Flight,2021 Photo Contest,Sports,"11 September, 2020",F:\Temp\2021\Fereshteh Eslahi,"Saeed allows his brother’s prey bird to fly, at home in Gachsaran, Iran. He says he wants to untie it and set it free.",3rd Prize,Fereshteh Eslahi,2021
36,Faces of Bridge,2021 Photo Contest,Sports,"04 August, 2020",F:\Temp\2021\Henrik Hansson,"A competition in the Borlänge Bridge Club clubhouse takes around three hours, Borlänge, Sweden.",2nd Prize,Henrik Hansson,2021
37,Those Who Stay Will Be Champions,2021 Photo Contest,Sports,"14 February, 2019",F:\Temp\2021\Chris Donovan,"Flint Jaguars player Dana Homes high-fives one of his coaches as he leaves the locker room for warm-up, in Flint, Michigan, USA.",1st Prize,Chris Donovan,2021
38,Tour of Poland Cycling Crash,2021 Photo Contest,Sports,"05 August, 2020",F:\Temp\2021\Tomasz Markowski,"Dutch cyclist, Dylan Groenewegen (left), crashes meters before the finish line, after colliding with fellow countryman Fabio Jakobsen during the first stage of the Tour of Poland, in Katowice, Poland.",3rd Prize,Tomasz Markowski,2021
