,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Wasteland,2018 Photo Contest,Environment,"27 January, 2017",F:\Temp\2018\Kadir van Lohuizen,"A man carries a load of PET bottles for recycling, at Olusosun landfill, Lagos, Nigeria. More than 3,000 tonnes of waste arrives at Olusosun daily. Upwards of 4,000 people, many of whom live on site, scavenge through the garbage by hand, collecting anything that is saleable or recyclable.",1st prize,Kadir van Lohuizen,2018
1,Hunger Solutions,2018 Photo Contest,Environment,"09 March, 2017",F:\Temp\2018\Luca Locatelli,"A farmhouse, surrounded by greenhouses, in Westland, the Netherlands.",2nd prize,Luca Locatelli,2018
2,Amazon: Paradise Threatened,2018 Photo Contest,Environment,"18 February, 2017",F:\Temp\2018\Daniel Beltra,"A remnant of rainforest stands in fields cleared for agriculture, near the Tapajós River, Brazilian Amazon.",3rd prize,Daniel Beltra,2018
3,Lives In Limbo,2018 Photo Contest,General News,"15 January, 2017",F:\Temp\2018\Francesco Pistilli,"Refugees shelter in a derelict warehouse behind the main train station in Belgrade, Serbia.",3rd prize,Francesco Pistilli,2018
4,Watch Houses Burn,2018 Photo Contest,General News,"09 September, 2017",F:\Temp\2018\Md Masfiqur Akhtar Sohan,"A group of Rohingya at the Leda makeshift settlement in Cox's Bazar, Bangladesh, watch as houses burn just across the border in Myanmar.
After militants of the Arakan Rohingya Salvation Army (ARSA) launched an assault on a Myanmar government police post in August, Rohingya villages were targeted and houses burned, causing an exodus of refugees to Bangladesh. The Myanmar government blamed ARSA for the village attacks. According to the refugees themselves and Human Rights Watch, which analyzed satellite imagery, Myanmar security forces set the fires. By the end of November more than 350 villages had been partially or completely destroyed.",3rd prize,Md Masfiqur Akhtar Sohan,2018
5,The Battle for Mosul,2018 Photo Contest,General News,"16 January, 2017",F:\Temp\2018\Ivor Prickett,"Iraqi Special Forces soldiers survey the aftermath of an attack by an ISIS suicide car bomber, who managed to reach their lines in the Andalus neighborhood, one of the last areas to be liberated in eastern Mosul.",1st prize,Ivor Prickett,2018
6,Rohingya Refugees Flee Into Bangladesh to Escape Ethnic Cleansing,2018 Photo Contest,General News,"01 October, 2017",F:\Temp\2018\Kevin Frayer,"A Rohingya refugee is helped from a boat as she arrives at Shah Porir Dwip, near Cox’s Bazar, Bangladesh.",2nd prize,Kevin Frayer,2018
7,Back in Time,2018 Photo Contest,Environment,"11 March, 2017",F:\Temp\2018\Thomas P. Peschak,"A historic photograph of an African penguin colony, taken in the late 1890s, is a stark contrast to the declining numbers seen in 2017 in the same location, on Halifax Island, Namibia. The colony once numbered more than 100,000 penguins.
The African penguin, once southern Africa’s most abundant seabird, is now listed as endangered. Overall, the African penguin population is just 2.5 percent of its level 80 years ago; research conducted on Halifax Island by the University of Cape Town indicates the population has more than halved in the past 30 years. Historically, the demand for guano (bird excrement used for fertilizer) was a cause of the decline: the birds burrow into deposits of guano to nest. Human consumption of eggs and overfishing of surrounding waters are also seen as causes. In the seas around Halifax Island sardine and anchovy—the chief prey of the African penguin—are now almost absent.",3rd prize,Thomas P. Peschak,2018
8,Not My Verdict,2018 Photo Contest,General News,"18 June, 2017",F:\Temp\2018\Richard Tsong-Taatarii,"John Thompson is embraced in St Anthony Village, Minnesota, USA, after speaking out at a memorial rally for his close friend Philando Castile, two days after police officer Jeronimo Yanez was acquitted of all charges in the shooting of Castile.
In July 2016, Officer Yanez had pulled over Castile’s car in Falcon Heights Minnesota as it had a broken brake light. Castile, an African American man, handed over proof of insurance when asked, and informed the officer that he had a gun in the car. Police dashboard camera footage reveals that Yanez shouted, “Don’t pull it out,” and fired seven shots into the vehicle, fatally wounding Castile. Yanez was found not guilty of second degree manslaughter on 16 June 2017. Thompson was a high-profile presence at rallies following his friend’s death.",2nd prize,Richard Tsong-Taatarii,2018
9,Attack of the Zombie Mouse,2018 Photo Contest,Environment,"01 May, 2017",F:\Temp\2018\Thomas P. Peschak,"A juvenile gray-headed albatross on Marion Island, South African Antarctic Territory, is left injured after an attack by mice from an invasive species that has begun to feed on living albatross chicks and juveniles.
Mice were introduced to the island by sealers in the 1800s and co-existed with the birds for almost 200 years. In 1991, South Africa eradicated feral cats from Marion Island, but a subsequent plan to do the same to the mouse population failed to materialize. An expanding population and declining food sources led the abnormally large mice to attack albatrosses and burrowing petrels. An environmental officer has now been appointed to monitor the mouse population and conduct large-scale poison bait trials.",2nd prize,Thomas P. Peschak,2018
10,Banned Beauty,2018 Photo Contest,Contemporary Issues,"07 November, 2016",F:\Temp\2018\Heba Khamis,"Veronica (28) massages the breasts of her daughter Michelle (10) while her other children watch, in East Cameroon.",1st prize,Heba Khamis,2018
11,White Rage - USA,2018 Photo Contest,Contemporary Issues,"28 September, 2017",F:\Temp\2018\Espen Rasmussen,"Donna Tottel (54) and Doug Tottel (55) are unemployed and survive by selling used goods from their porch in Fort Creek, West Virginia. When the electricity to their house was cut off, they installed a generator.",3rd prize,Espen Rasmussen,2018
12,Feeding China,2018 Photo Contest,Contemporary Issues,"13 June, 2016",F:\Temp\2018\George Steinmetz,"Thousands of people converge on Xuyi County, in the eastern province of Jiangsu, for an annual crayfish festival.",2nd prize,George Steinmetz,2018
13,Omo Change,2018 Photo Contest,Long-Term Projects,"26 November, 2017",F:\Temp\2018\Fausto Podavini,"Construction workers chew khat—a natural drug with euphoric effects—at the end of a working day, in the Omo Valley, Ethiopia.",2nd prize,Fausto Podavini,2018
14,North Korea,2018 Photo Contest,Contemporary Issues,"09 April, 2017",F:\Temp\2018\Roger Turesson,"A crowd awaits the start of the Pyongyang Marathon at the Kim Il-sung Stadium, while an official guards the exit, in Pyongyang, North Korea.
More than 50,000 spectators assembled to see the start of the marathon. Thousands more gathered on the streets of the North Korean capital along a route that took runners past such landmarks as the Arch of Triumph, Kim Il-sung Square and the Grand Theatre. North Korea is one of the most isolated and secretive nations on earth. A leadership cult has grown around the Kim dynasty, passing from Kim Il-sung (the Great Leader) to his son Kim Jong-il (the Dear Leader) and grandson, the current supreme leader Kim Jong-un. The country is run along rigidly state-controlled lines. Local media are strictly regulated, and the foreign press largely excluded, or, if allowed access closely accompanied by minders.",3rd prize,Roger Turesson,2018
15,More Than a Woman,2018 Photo Contest,Contemporary Issues,"03 February, 2017",F:\Temp\2018\Giulio Di Sturco,"Dr Suporn Watanyusakul shows patient Olivia Thomas her new vagina after gender reassignment surgery at a hospital in Chonburi, near Bangkok, Thailand.
Thailand leads the world as a medical tourism destination, with gender-affirming surgery forming a strong niche. Treatment can be considerably cheaper than in other countries around the world, and the large numbers of patients mean that surgeons become highly experienced. The use of new technologies and procedures is also often given as a reason for Thailand’s popularity among people seeking treatment for gender dysphoria.",2nd prize,Giulio Di Sturco,2018
16,Lagos Waterfronts under Threat,2018 Photo Contest,Contemporary Issues,"24 February, 2017",F:\Temp\2018\Jesco Denzel,"A boat with tourists from Lagos Marina is steered through the canals of the Makoko community—an ancient fishing village that has grown into an enormous informal settlement—on the shores of Lagos Lagoon, Lagos, Nigeria.
Makoko has a population of around 150,000 people, many of whose families have been there for generations. But Lagos is growing rapidly, and ground to build on is in high demand. Prime real estate along the lagoon waterfront is scarce, and there are moves to demolish communities such as Makoko and build apartment blocks: accommodation for the wealthy. Because the government considers the communities to be informal settlements, people may be evicted without provision of more housing. Displacement from the waterfront also deprives them of their livelihoods. The government denies that the settlements have been inhabited for generations and has given various reasons for evictions, including saying that the communities are hideouts for criminals. Court rulings against the government in 2017 declared the evictions unconstitutional and that residents should be compensated and rehoused, but the issue remains unresolved.",1st prize,Jesco Denzel,2018
17,Witnessing the immediate aftermath of an attack in the heart of London,2018 Photo Contest,Not Specified,"22 March, 2017",F:\Temp\2018\Toby Melville,"A passerby comforts an injured woman after Khalid Masood drove his car into pedestrians on Westminster Bridge in London, UK, killing five and injuring multiple others.",World Press Photo of the Year Nominee,Toby Melville,2018
