,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,1969 Photo Contest,General News,"01 July, 1969",F:\Temp\1969\Stanislaw Jakubowski,"Mud and water blocks the exit of the 'General Zawadzki' coal mine, Poland, where 119 miners have been trapped since 26 July 1969. Three days later, all but one had been saved, the rescue workers having been assisted in their efforts by a giant mechanical drill flown in from West Germany.",1st prize,Stanislaw Jakubowski,1969
1,Not Specified,1969 Photo Contest,News,"11 April, 1969",F:\Temp\1969\Horst Faas,"A Vietnamese woman cries over the body of her dead husband, who was discovered with 47 others in a mass grave. Remnants of the corpse were wrapped in plastic. She identified her husband by examining teeth and covered the skull with her hat.",2nd prize,Horst Faas,1969
2,Not Specified,1969 Photo Contest,News,"21 September, 1969",F:\Temp\1969\Toshio Aoi,"Two students are burnt by a petrol bomb during fights with the riot police on the campus of Kyoto University. They caught fire when the police tried to burn down a barricade, which had been built by protesting students. The president of Kyoto University had called the riot police to his campus to evict students from the clock tower and other major buildings, which had been occupied. Two thousand policemen marched into the campus at 6 am, and had cleared all buildings by noon, except the clock tower, where eight students kept the police at bay for more than 24 hours.

In the 1960s, Japan witnessed extensive and often violent student protests. An important focus of these protests was the United States-Japan Joint Security Treaty, which was signed in 1960 and renewed in 1970, and in its wake the Vietnam War. At the same time, the student activists sought educational and administrative reforms. They organized petitions, strikes, and mass street demonstrations, and occupied university buildings and other strategic locations. These massive disputes often had a paralyzing effect on teaching and research for months at an end. At the end of the decade, the demonstrations often escalated into heavy violence, as many university administrators resorted more readily to calling in the riot police.",1st prize,Toshio Aoi,1969
3,Not Specified,1969 Photo Contest,Arts and Entertainment,"01 January, 1969",F:\Temp\1969\Tony Vaccaro,Fashion.,1st prize,Tony Vaccaro,1969
4,Not Specified,1969 Photo Contest,General News,"01 January, 1969",F:\Temp\1969\Alexey Perevoshchikov,A small hump-backed horse.,3rd prize,Alexey Perevoshchikov,1969
5,Not Specified,1969 Photo Contest,News,"24 September, 1969",F:\Temp\1969\Frank Attard,"A human chain of soldiers and police rescue one of the 34 crew members of the Greek tanker 'Angel Gabriel', which had shipwrecked on a reef during a cyclone.",3rd prize,Frank Attard,1969
6,Not Specified,1969 Photo Contest,General News,"14 August, 1969",F:\Temp\1969\Ruud Hoff,"The wedding procession of Johan and Ineke de Kok, on the road between Hoofddorp and Badhoevedorp, The Netherlands. In the same year as man flew to the moon in a high tech rocket, this newly wed couple traveled by horse-drawn carriage.",1st prize,Ruud Hoff,1969
7,Not Specified,1969 Photo Contest,General Features,"01 January, 1969",F:\Temp\1969\Alexey Perevoshchikov,A small hump-backed horse.,3rd prize,Alexey Perevoshchikov,1969
8,Not Specified,1969 Photo Contest,General Features,"14 August, 1969",F:\Temp\1969\Ruud Hoff,"The wedding procession of Johan and Ineke de Kok, on the road between Hoofddorp and Badhoevedorp, The Netherlands. In the same year as man flew to the moon in a high tech rocket, this newly wed couple traveled by horse-drawn carriage.",1st prize,Ruud Hoff,1969
9,Not Specified,1969 Photo Contest,Color Picture,Not Specified,F:\Temp\1969\Georg Böhlje,Not Specified,2nd prize,Georg Böhlje,1969
10,Not Specified,1969 Photo Contest,Color Picture,"01 January, 1969",F:\Temp\1969\Tony Vaccaro,Fashion.,1st prize,Tony Vaccaro,1969
11,Not Specified,1969 Photo Contest,General News,Not Specified,F:\Temp\1969\Georg Böhlje,Not Specified,2nd prize,Georg Böhlje,1969
12,Not Specified,1969 Photo Contest,Novosti TASS Prize,Not Specified,F:\Temp\1969\Hanns-Jörg Anders,Not Specified,Individual awards,Hanns-Jörg Anders,1969
13,Not Specified,1969 Photo Contest,General News,"01 January, 1969",F:\Temp\1969\Henning Christoph,"Life of the unemployed, the elderly and the children in the Bogside, the Catholic neighborhood in Derry, Northern Ireland, during the beginning of ‘The Troubles’, the violent conflict between unionists and loyalists over the constitutional status of Northern Ireland. 

Tensions between residents of the Bogside, allied under the Derry Citizens’ Defence Association, and the police (the Royal Ulster Constabulary), were building in Derry for over a year before a very large communal riot broke out in August 1969, which became known as the Battle of the Bogside. This riot is commonly seen as one of the first major confrontations in ‘The Troubles’.",2nd prize,Henning Christoph,1969
14,Not Specified,1969 Photo Contest,Others,"01 August, 1969",F:\Temp\1969\Rudi Herzog,"Spectators at the Isle of Wight pop festival, which was held on 29, 30 and 31 August 1969. The festival attracted an audience of ca. 150,000 people, who came to see Bob Dylan, The Band, The Who, Joe Cocker, The Moody Blues and other acts.",2nd prize,Rudi Herzog,1969
15,Not Specified,1969 Photo Contest,Twen Magazine Prize,"01 August, 1969",F:\Temp\1969\Rudi Herzog,"Spectators at the Isle of Wight pop festival, which was held on 29, 30 and 31 August 1969. The festival attracted an audience of ca. 150,000 people, who came to see Bob Dylan, The Band, The Who, Joe Cocker, The Moody Blues and other acts.",2nd prize,Rudi Herzog,1969
16,Not Specified,1969 Photo Contest,Spot News,"24 September, 1969",F:\Temp\1969\Frank Attard,"A human chain of soldiers and police rescue one of the 34 crew members of the Greek tanker 'Angel Gabriel', which had shipwrecked on a reef during a cyclone.",3rd prize,Frank Attard,1969
17,Not Specified,1969 Photo Contest,Spot News,"11 April, 1969",F:\Temp\1969\Horst Faas,"A Vietnamese woman cries over the body of her dead husband, who was discovered with 47 others in a mass grave. Remnants of the corpse were wrapped in plastic. She identified her husband by examining teeth and covered the skull with her hat.",2nd prize,Horst Faas,1969
18,Not Specified,1969 Photo Contest,Spot News,"21 September, 1969",F:\Temp\1969\Toshio Aoi,"Two students are burnt by a petrol bomb during fights with the riot police on the campus of Kyoto University. They caught fire when the police tried to burn down a barricade, which had been built by protesting students. The president of Kyoto University had called the riot police to his campus to evict students from the clock tower and other major buildings, which had been occupied. Two thousand policemen marched into the campus at 6 am, and had cleared all buildings by noon, except the clock tower, where eight students kept the police at bay for more than 24 hours.

In the 1960s, Japan witnessed extensive and often violent student protests. An important focus of these protests was the United States-Japan Joint Security Treaty, which was signed in 1960 and renewed in 1970, and in its wake the Vietnam War. At the same time, the student activists sought educational and administrative reforms. They organized petitions, strikes, and mass street demonstrations, and occupied university buildings and other strategic locations. These massive disputes often had a paralyzing effect on teaching and research for months at an end. At the end of the decade, the demonstrations often escalated into heavy violence, as many university administrators resorted more readily to calling in the riot police.",1st prize,Toshio Aoi,1969
