,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Battling the Marsh Fire,2020 Photo Contest,Environment,"03 August, 2019",F:\Temp\2020\Noah Berger,"Firefighters battle the Marsh Complex Fire, near the town of Brentwood, California, USA.",2nd Prize,Noah Berger,2020
1,Lake Victoria Dying,2020 Photo Contest,Environment,"09 January, 2019",F:\Temp\2020\Frédéric Noy,"A fisherman who works illegally on Lake Victoria refloats the boat that he keeps hidden all day, before going fishing with a colleague, in Murchison Bay, Uganda.",3rd Prize,Frédéric Noy,2020
2,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"04 October, 2019",F:\Temp\2020\Luca Locatelli,"Amager Bakke, a waste-to-energy plant that replaced an old coal incineration plant, near Copenhagen, Denmark, produces enough electricity to power at least 60,000 homes and heat 72,000. Advanced filtration technology reduces emissions of noxious nitrogen oxides to almost zero.",1st Prize,Luca Locatelli,2020
3,Fading Flamingos,2020 Photo Contest,Environment,"18 September, 2018",F:\Temp\2020\Maximilian Mann,"Visitors walk along the shore of Lake Urmia, Iran.",2nd Prize,Maximilian Mann,2020
4,Hong Kong Unrest,2020 Photo Contest,General News,"11 September, 2019",F:\Temp\2020\Nicolas Asfouri,"A man holds a poster in Shatin, Hong Kong, as people gather to sing ‘Glory to Hong Kong’, a protest song which gained popularity in the city as an unofficial anthem.",1st Prize,Nicolas Asfouri,2020
5,Straight Voice,2020 Photo Contest,General News,"19 June, 2019",F:\Temp\2020\Yasuyoshi Chiba,"A young man, illuminated by mobile phones, recites protest poetry while demonstrators chant slogans calling for civilian rule, during a blackout in Khartoum, Sudan.",1st Prize,Yasuyoshi Chiba,2020
6,Russian Mother and her Child at Al-Hol Camp,2020 Photo Contest,General News,"14 November, 2019",F:\Temp\2020\Alessio Mamo,"A Russian woman carries her child while queuing at a makeshift hospital in ‘The Annex’, at Al-Hol Refugee Camp in northern Syria.",2nd Prize,Alessio Mamo,2020
7,Unconscious Protester during the Tishreen Revolution,2020 Photo Contest,General News,"15 November, 2019",F:\Temp\2020\Ricardo  García Vilanova,"A man assists a fellow protester, who became unconscious after government forces fired tear gas and smoke grenades during a protest in Baghdad, Iraq.",3rd Prize,Ricardo  García Vilanova,2020
8,Polar Bear and her Cub,2020 Photo Contest,Environment,"10 October, 2019",F:\Temp\2020\Esther Horvath,"A polar bear and her cub come close to equipment placed by scientists from Polarstern, a ship that is part of a scientific expedition investigating the consequences of Arctic climate change, in the central Arctic Ocean.",1st Prize,Esther Horvath,2020
9,The Carbon Threat,2020 Photo Contest,Environment,"08 August, 2018",F:\Temp\2020\Katie Orlinsky,"The Batagaika crater, near the Siberian town of Batagay, Russia, formed by melting permafrost, first appeared in the 1960s and is now nearly a kilometer long and 86 meters deep. It is growing at a rate of between 10 and 30 meters a year",3rd Prize,Katie Orlinsky,2020
10,Exodus,2020 Photo Contest,Contemporary Issues,"09 October, 2018",F:\Temp\2020\Nicolò Filippo Rosso,"People follow a path to enter Colombia illegally, near Villa del Rosario in North Santander, Colombia, one of the busiest regions for border crossings.",3rd Prize,Nicolò Filippo Rosso,2020
11,Hong Kong Unrest,2020 Photo Contest,Not Specified,"11 September, 2019",F:\Temp\2020\Nicolas Asfouri,"A man holds a poster in Shatin, Hong Kong, as people gather to sing ‘Glory to Hong Kong’, a protest song which gained popularity in the city as an unofficial anthem.",World Press Photo Story of the Year Nominee,Nicolas Asfouri,2020
12,The Longest War,2020 Photo Contest,Contemporary Issues,"11 December, 2019",F:\Temp\2020\Lorenzo  Tugnoli,"Abdul Rahman (20; center) walks with a group of Taliban fighters in the Khogyani district, eastern Afghanistan. He was a farmer before he joined the Taliban and lost a hand trying to defuse a bomb.",1st Prize,Lorenzo  Tugnoli,2020
13,Hitler’s Birthday / Easter Weekend,2020 Photo Contest,Contemporary Issues,"19 April, 2019",F:\Temp\2020\Mark Peterson,"Members of the white supremacist group Shield Wall Network celebrate Hitler’s birthday, on Lake Dardanelle, Arkansas, USA.",3rd Prize,Mark Peterson,2020
14,Not Specified,Not Specified,Not Specified,Not Specified,Not Found,Not Specified,Not Specified,Sean Davey,2020
