,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,1979 Photo Contest,General News,"01 January, 1978",F:\Temp\1979\Eddie Adams,"White life in Rhodesia: An 89-year-old widow with her gun.

On 3 March 1978, after 14 years of civil war, Rhodesian Prime Minister Ian Smith and bishop Abel Muzorewa of the United African National Council signed an agreement, which became known as the Internal Settlement. In 1965 Smith, prime minister of the British colony since 1964, had declared Rhodesia unilaterally independent under white minority rule. The declaration not only sparked international outrage and economic sanctions, but also a guerrilla war against white rule by different political and military factions. By signing the Internal Settlement and organizing new democratic elections, it was expected that all sanctions would be lifted. However, the settlement was condemned by the United Nations' Security Council, and as not all significant parties had been involved in the process, the civil war continued. The war would not end before December 1979, when in Lancaster House, London, all parties came to a peace agreement and a new constitution, guaranteeing minor rights.",1st prize,Eddie Adams,1979
1,Not Specified,1979 Photo Contest,Nature,"01 January, 1978",F:\Temp\1979\Manfred Vollmer,"Rescue workers fight an oil-disaster caused by supertanker Amoco Cadiz which ran aground on March 16, near Portsall.",1st prize,Manfred Vollmer,1979
2,Not Specified,1979 Photo Contest,Miscellaneous,"01 January, 1978",F:\Temp\1979\Peter Nosov,"A monkey about to receive an injection in a veterinary clinic in Moscow. 

It is not entirely clear, if the monkey was indeed about to receive an injection. Peter Nosov, who was famous in Russia for his funny and cheerful photographs, made a composite of this picture using two different but apparently adjacent negatives.",3rd prize,Peter Nosov,1979
3,Not Specified,1979 Photo Contest,Miscellaneous,"01 January, 1978",F:\Temp\1979\Dieter Baumann,"A line-up of young girls during the Deutsche Turnfest (German Gymnastics Tournament) in Hannover, Germany.",2nd prize,Dieter Baumann,1979
4,Not Specified,1979 Photo Contest,Miscellaneous,"01 January, 1978",F:\Temp\1979\Eddie Adams,An untouchable in India.,1st prize,Eddie Adams,1979
5,Not Specified,1979 Photo Contest,Humor,"01 January, 1978",F:\Temp\1979\Denis Thorpe,Queen Elisabeth.,3rd prize,Denis Thorpe,1979
6,Not Specified,1979 Photo Contest,Humor,"01 January, 1978",F:\Temp\1979\Ronald G. Bell,A soldier from the Queen's Guard is in charge of the handbag of Queen Elizabeth II.,2nd prize,Ronald G. Bell,1979
7,Not Specified,1979 Photo Contest,Humor,"01 January, 1978",F:\Temp\1979\John Edmund Lamb,"Carol Jones, a mother of three, ignores a salute destined for the Governor of Victoria, Sir H. Winneke at the opening of Parliament.",1st prize,John Edmund Lamb,1979
8,Not Specified,1979 Photo Contest,General News,"01 January, 1978",F:\Temp\1979\Monte Fresco,"A man convicted of rape is sentenced to receive 12 strokes by cane. Two others were given the same sentence. The first public flogging in Pakistan was watched by a crowd of 15,000.",3rd prize,Monte Fresco,1979
9,Not Specified,1979 Photo Contest,General News,"01 January, 1978",F:\Temp\1979\Cornelius Meffert,Mountain farmers.,2nd prize,Cornelius Meffert,1979
10,Not Specified,1979 Photo Contest,General News,"01 January, 1978",F:\Temp\1979\Dieter Baumann,"A line-up of young girls during the Deutsche Turnfest (German Gymnastics Tournament) in Hannover, Germany.",2nd prize,Dieter Baumann,1979
