,Title,Award,Category,Published Date,Stored Path,Description,Prize Level,Photographer,Award Year
0,Not Specified,1968 Photo Contest,News,"01 February, 1968",F:\Temp\1968\Eddie Adams,"Saigon, Vietnam.

South Vietnam National Police Chief Nguyen Ngoc Loan executes suspected Viet Cong member Nguyen Van Lem, on the second day of the Tet Offensive during the Vietnam War.

On 31 January 1968, the North Vietnamese Army and the Viet Cong launched a large-scale offensive attacking most major cities in South Vietnam simultaneously. The attacks came as a complete surprise for both the South Vietnamese Army and the American Army, as the Vietnamese Lunar New Year holiday of Tet had just begun, and a ceasefire had been announced for the duration of the holiday. Within a day, the streets of Saigon, a presumed safe hold, had turned into a battlefield. It would take the South Vietnamese Army and the American forces two weeks to regain control of the city.",1st prize,Eddie Adams,1968
1,Not Specified,1968 Photo Contest,General News,"01 January, 1968",F:\Temp\1968\Gérard Klijn,"Volunteers enlist to fight for the self-proclaimed Republic of Biafra, against troops of the Nigerian Federal Military Government.",2nd prize,Gérard Klijn,1968
2,Not Specified,1968 Photo Contest,General News,"01 January, 1968",F:\Temp\1968\Igor Utkin,Volleyball.,1st prize,Igor Utkin,1968
3,Not Specified,1968 Photo Contest,General News,"21 August, 1968",F:\Temp\1968\Hilmar Pabel,"Troops of the Warsaw Pact enter Prague to put an end to the Prague Spring.

The Soviet Union feared that Prime Minister Alexander Dubcek's democratic reforms threatened the balance of power in Eastern Europe. Dozens of people were killed and several Czechoslovakian leaders were arrested.",1st prize,Hilmar Pabel,1968
4,Not Specified,1968 Photo Contest,General News,"15 January, 1968",F:\Temp\1968\Gianfranco Moroldo,"Man in front of his destroyed house in Belice, after a sequence of earthquakes struck the Italian island of Sicily on 14 and 15 January 1968.",2nd prize,Gianfranco Moroldo,1968
5,Not Specified,1968 Photo Contest,General Features,"01 January, 1968",F:\Temp\1968\Victor Budan,"A Russian troika, a horse-drawn sled.",3rd prize,Victor Budan,1968
6,Not Specified,1968 Photo Contest,General News,"01 June, 1968",F:\Temp\1968\David Paynter,"Marathon athlete Mathias Kanda, member the Rhodesian Olympic athletics team, runs against a steam train known as The Gwelo to Selukwe Flyer.

The photo was initiated in collaboration with John Cheffers, the team's Australian coach, to promote the Olympic team. As photo of the month (June 1968) for the Associated Press, the image was distributed world wide.

Despite the multi-racial selection of the Rhodesian Olympic team, Rhodesia (now Zimbabwe) was banned from competition in the 1968 Summer Olympic in Mexico City, because of international protest against apartheid. Rhodesia did not allow black Rhodesians to vote in national elections.",1st prize,David Paynter,1968
7,Not Specified,1968 Photo Contest,General Features,"01 July, 1968",F:\Temp\1968\Sven-Erik Sjöberg,"A starving child in Biafra, Nigeria.",2nd prize,Sven-Erik Sjöberg,1968
8,Not Specified,1968 Photo Contest,General Features,"01 June, 1968",F:\Temp\1968\David Paynter,"Marathon athlete Mathias Kanda, member the Rhodesian Olympic athletics team, runs against a steam train known as The Gwelo to Selukwe Flyer.

The photo was initiated in collaboration with John Cheffers, the team's Australian coach, to promote the Olympic team. As photo of the month (June 1968) for the Associated Press, the image was distributed world wide.

Despite the multi-racial selection of the Rhodesian Olympic team, Rhodesia (now Zimbabwe) was banned from competition in the 1968 Summer Olympic in Mexico City, because of international protest against apartheid. Rhodesia did not allow black Rhodesians to vote in national elections.",1st prize,David Paynter,1968
9,Not Specified,1968 Photo Contest,Color Picture,"15 January, 1968",F:\Temp\1968\Gianfranco Moroldo,"Man in front of his destroyed house in Belice, after a sequence of earthquakes struck the Italian island of Sicily on 14 and 15 January 1968.",2nd prize,Gianfranco Moroldo,1968
10,Not Specified,1968 Photo Contest,News,"01 January, 1968",F:\Temp\1968\Terence Spencer,"A starving child in Biafra, Nigeria.",2nd prize,Terence Spencer,1968
11,Flames of Protest,1968 Photo Contest,General News,"05 April, 1968",F:\Temp\1968\Frank Hoy,"Washington D.C. is on fire, after riots broke out on 4 April 1968, following the assassination of Martin Luther King Jr., leader of the civil rights movement, one day earlier in Memphis, Tennessee.
After a day of arson, looting, and violence, U.S. President Johnson called in the federal troops to assist the District police force to restore order, which came eventually on 8 April. By that time, 12 people had been killed and more than a thousand people had been injured. Some 1,200 buildings had been burned, including more than 900 stores.",1st prize,Frank Hoy,1968
12,Flames of Protest,1968 Photo Contest,Color Picture,"05 April, 1968",F:\Temp\1968\Frank Hoy,"Washington D.C. is on fire, after riots broke out on 4 April 1968, following the assassination of Martin Luther King Jr., leader of the civil rights movement, one day earlier in Memphis, Tennessee.
After a day of arson, looting, and violence, U.S. President Johnson called in the federal troops to assist the District police force to restore order, which came eventually on 8 April. By that time, 12 people had been killed and more than a thousand people had been injured. Some 1,200 buildings had been burned, including more than 900 stores.",1st prize,Frank Hoy,1968
13,Not Specified,1968 Photo Contest,News,"05 June, 1968",F:\Temp\1968\Ron Bennett,"Clutching his rosary beads, Senator Robert F. Kennedy lies fatally wounded on the floor of the Ambassador Hotel in Los Angeles, after he was shot by an assailant following his victory speech in the California primary election. Robert Kennedy died early 6 June, after a team of surgeons tried in vain to save his life.",3rd prize,Ron Bennett,1968
14,Not Specified,1968 Photo Contest,Others,Not Specified,F:\Temp\1968\Pedro Luis Raota,Not Specified,Individual awards,Pedro Luis Raota,1968
15,Not Specified,1968 Photo Contest,Novosti TASS Prize,"01 February, 1968",F:\Temp\1968\Max Scheler,"Dr. Christiaan Barnard checks on his patient, Philip Blaiberg, after his successful heart transplant in Groote Schuur Hospital in Cape Town.
Blaiberg was the third person to receive a heart transplant, the first open heart transplant was also conducted by Barnard. The 58-year-old dentist received his new heart on 2 January 1968 from Clive Haupt, a 24-year-old textile worker who had died from a stroke on a Cape Town beach the day before. Blaiberg's transplant gained additional media attention because the donor was a black South African. Blaiberg returned home after two months in hospital. He died on 17 August 1969 from heart complications.",Individual awards,Max Scheler,1968
16,Not Specified,1968 Photo Contest,Spot News,"05 June, 1968",F:\Temp\1968\Ron Bennett,"Clutching his rosary beads, Senator Robert F. Kennedy lies fatally wounded on the floor of the Ambassador Hotel in Los Angeles, after he was shot by an assailant following his victory speech in the California primary election. Robert Kennedy died early 6 June, after a team of surgeons tried in vain to save his life.",3rd prize,Ron Bennett,1968
17,Not Specified,1968 Photo Contest,Spot News,"01 January, 1968",F:\Temp\1968\Terence Spencer,"A starving child in Biafra, Nigeria.",2nd prize,Terence Spencer,1968
18,Not Specified,1968 Photo Contest,Spot News,"01 February, 1968",F:\Temp\1968\Eddie Adams,"Saigon, Vietnam.

South Vietnam National Police Chief Nguyen Ngoc Loan executes suspected Viet Cong member Nguyen Van Lem, on the second day of the Tet Offensive during the Vietnam War.

On 31 January 1968, the North Vietnamese Army and the Viet Cong launched a large-scale offensive attacking most major cities in South Vietnam simultaneously. The attacks came as a complete surprise for both the South Vietnamese Army and the American Army, as the Vietnamese Lunar New Year holiday of Tet had just begun, and a ceasefire had been announced for the duration of the holiday. Within a day, the streets of Saigon, a presumed safe hold, had turned into a battlefield. It would take the South Vietnamese Army and the American forces two weeks to regain control of the city.",1st prize,Eddie Adams,1968
19,Not Specified,1968 Photo Contest,Sports,"01 January, 1968",F:\Temp\1968\Alfred Markey,"Brian Dobson of the Huddersfiel Giants is held in full flight by Keith Cotton of the Featherstone Rovers during the Rugby League Challenge Cup semi-finals. 

The Featherstone Rovers won the match, and would also win the Challenge Cup finals, which were played against Barrow at Wembley Stadium.",2nd prize,Alfred Markey,1968
20,Not Specified,1968 Photo Contest,Sports,"01 January, 1968",F:\Temp\1968\Tonny Strouken,'The lost game',3rd prize,Tonny Strouken,1968
21,Not Specified,1968 Photo Contest,Photoreporter of the Year,Not Specified,F:\Temp\1968\Pedro Luis Raota,Not Specified,Individual awards,Pedro Luis Raota,1968
22,Not Specified,1968 Photo Contest,Photo Stories,"01 February, 1968",F:\Temp\1968\Max Scheler,"Dr Christiaan Barnard checks on his patient, Philip Blaiberg, in Groote Schuur Hospital, Cape Town, after a successful open heart transplant.
Blaiberg was the third person to receive a heart transplant, the first open heart transplant was also conducted by Barnard. The 58-year-old dentist received his new heart on 2 January 1968 from Clive Haupt, a 24-year-old textile worker who had died from a stroke on a Cape Town beach the day before. Blaiberg's transplant gained additional media attention because the donor was a black South African. Blaiberg returned home after two months in hospital. He died on 17 August 1969 from heart complications.",3rd prize,Max Scheler,1968
23,Not Specified,1968 Photo Contest,Photo Stories,"01 January, 1968",F:\Temp\1968\Gérard Klijn,"Volunteers enlist to fight for the self-proclaimed Republic of Biafra, against troops of the Nigerian Federal Military Government.",2nd prize,Gérard Klijn,1968
24,Not Specified,1968 Photo Contest,Photo Stories,"21 August, 1968",F:\Temp\1968\Hilmar Pabel,"Troops of the Warsaw Pact enter Prague to put an end to the Prague Spring.

The Soviet Union feared that Prime Minister Alexander Dubcek's democratic reforms threatened the balance of power in Eastern Europe. Dozens of people were killed and several Czechoslovakian leaders were arrested.",1st prize,Hilmar Pabel,1968
25,Not Specified,1968 Photo Contest,Photo Sequences,"01 January, 1968",F:\Temp\1968\Igor Utkin,Volleyball.,1st prize,Igor Utkin,1968
26,Not Specified,1968 Photo Contest,Sports,"18 October, 1968",F:\Temp\1968\Douglas Miller,"U.S. Athlete Bob Beamon (22) sets a new world record of 8.90m (29 ft 2,5 inches) during the long jump competition at the Summer Olympics in Mexico City. He beat the previous record sensationally by 55,25cm. Beamon's jump was not exceeded until 1991, when Mike Powell jumped 8.95m.",1st prize,Douglas Miller,1968
