,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Battling the Marsh Fire,2020 Photo Contest,Environment,"03 August, 2019",https://www.worldpressphoto.org/getmedia/db549fcf-0e8d-46e6-a09d-42390e9e5a2b/WPP-2020PhotoContest-EN-NoahBerger.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Noah Berger\1.jpg,"Firefighters battle the Marsh Complex Fire, near the town of Brentwood, California, USA.",2nd Prize,Noah Berger,2020
1,1,Not Specified,Not Specified,Not Specified,Not Specified,Not Found,Not Found,Not Specified,Not Specified,Frédéric Noy,2020
2,1,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"04 October, 2019",https://www.worldpressphoto.org/getmedia/199bdc1c-2073-452c-873d-60cbf34aae30/WPP-2020PhotoContest-ENS-LucaLocatelli-AJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\1.jpg,"Amager Bakke, a waste-to-energy plant that replaced an old coal incineration plant, near Copenhagen, Denmark, produces enough electricity to power at least 60,000 homes and heat 72,000. Advanced filtration technology reduces emissions of noxious nitrogen oxides to almost zero.",1st Prize,Luca Locatelli,2020
3,2,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"05 October, 2019",https://www.worldpressphoto.org/getmedia/23c4d3e5-906b-4b3c-b011-c042f5562aea/WPP-2020PhotoContest-ENS-LucaLocatelli-BJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\2.jpg,"A grab crane dumps waste into a silo in the collection chamber at the Amager Bakke waste-to-energy plant in Copenhagen, Denmark. The plant burns waste at a rate of 70 tonnes per hour to generate electricity.",1st Prize,Luca Locatelli,2020
4,3,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"29 October, 2019",https://www.worldpressphoto.org/getmedia/98ae09f0-179a-483e-9814-f71e1453c97d/WPP-2020PhotoContest-ENS-LucaLocatelli-CJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\3.jpg,"The dry desert climate in Arizona, USA, helps prevent corrosion and weather damage to aircraft stored at the 309th Aerospace Maintenance and Regeneration Group in Tucson. ‘The Boneyard’ handles nearly 4,400 decommissioned planes, dismantling them and reusing parts, or reassembling entire aircraft to be put back into service.",1st Prize,Luca Locatelli,2020
5,4,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"06 August, 2019",https://www.worldpressphoto.org/getmedia/6c9f28d0-b92c-49fd-9076-7bf14c2d08a0/WPP-2020PhotoContest-ENS-LucaLocatelli-DJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\4.jpg,"Clouds rise from geothermal wells in Hellisheiði Power Station in Hengill, Iceland. Approximately 87% of hot water for households and heating city streets in Iceland comes from geothermal energy. Hellisheiði’s pipes are painted green to minimize the visual impact on the landscape.",1st Prize,Luca Locatelli,2020
6,5,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"09 October, 2019",https://www.worldpressphoto.org/getmedia/bc5d57db-5f3e-45db-ad53-92bf8e7c394c/WPP-2020PhotoContest-ENS-LucaLocatelli-EJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\5.jpg,"Workers inspect pipes at the Novo Nordisk insulin production facility in Kalundborg, Denmark. The factory produces half of the world's insulin in a process that generates tons of yeast slurry as a byproduct. The slurry is then used to make agricultural fertilisers and to produce biomass energy to power the Kalundborg Symbiosis industrial park, a partnership between nine companies in which residue from one becomes a resource at another.",1st Prize,Luca Locatelli,2020
7,6,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"31 October, 2019",https://www.worldpressphoto.org/getmedia/82cea679-f8c7-41d6-8318-d58649936b54/WPP-2020PhotoContest-ENS-LucaLocatelli-FJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\6.jpg,"A vertical farming facility in Newark, New Jersey, USA, produces fresh vegetables in a way that uses 5% of the water normally needed in an outdoor field. Seeds are laid on fabric made from 100% recycled plastic bottles and misted from below, in a closed system that requires no pesticides and allows nutrients to be spot-delivered.",1st Prize,Luca Locatelli,2020
8,7,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"05 December, 2019",https://www.worldpressphoto.org/getmedia/aee35836-ca2c-4409-b0bf-51c92ab53feb/WPP-2020PhotoContest-ENS-LucaLocatelli-GJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\7.jpg,"Newly recycled wool fibre dries in a textile facility in Prato, Italy. A wet shredding technique is used to strip the wool and turn rags back into fibre that can then be spun into thread to produce fine fabrics. Discarded clothing is a source of pollution worldwide. Prato has long  been a model of innovation in the textile sector, having historically based its industrial fortune on the reuse of second-hand clothing from all over the world.",1st Prize,Luca Locatelli,2020
9,8,The End of Trash - Circular Economy Solutions,2020 Photo Contest,Environment,"10 October, 2019",https://www.worldpressphoto.org/getmedia/0fbf43be-9f4b-4a44-a08c-2926f57d69b6/WPP-2020PhotoContest-ENS-LucaLocatelli-HJ.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2020\Luca Locatelli\8.jpg,"A worker at Entocycle, a company developing technology to farm insects on a large scale for industrial protein production as a more sustainable alternative to meat, checks flies in an experimental net chamber in London, UK. She wears a mask as the floor is covered in rotting waste material to incite the flies to lay eggs.",1st Prize,Luca Locatelli,2020
