,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Not Specified,1981 Photo Contest,News Feature,"01 April, 1980",https://www.worldpressphoto.org/getmedia/707638b1-878e-41c0-b726-b173bb2c266f/1981-Mike-Wells-GN1-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1981\Mike Wells\1.jpg,"Karamoja district, Uganda.

The hand of a severely malnourished boy rests in a Catholic monk’s hand in the Karamoja region of northeastern Uganda.

Hunger has been a recurrent problem in the drought-prone region of Karamoja. Due to natural, social, and political causes, periods of famine intensified in the 1970s. The famine of 1980 was the worst in the region’s history at the time. In less than a year, it killed around 20% of the population, including approximately half of all infants. While the famine also reached other districts, Karamoja was by far the worst affected.",1st prize,Mike Wells,1981
1,1,Not Specified,1981 Photo Contest,General Picture,"01 January, 1980",https://www.worldpressphoto.org/getmedia/7ee9edd8-7068-4b91-9230-29697954545e/1981-Wolfgang-Lummer-NA3-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1981\Wolfgang Lummer\1.jpg,Swallows.,3rd prize,Wolfgang Lummer,1981
2,1,Not Specified,1981 Photo Contest,General Picture,"01 January, 1980",https://www.worldpressphoto.org/getmedia/75db046e-58e7-447a-9d99-748e1b0b344a/1981-Ovie-Carter-PN1-(1)?maxsidesize=1920&resizemode=force,F:\Temp\1981\Ovie Carter\1.jpg,Happiness prevails.,1st prize,Ovie Carter,1981
3,1,Not Specified,1981 Photo Contest,General News,"01 January, 1980",https://www.worldpressphoto.org/getmedia/aee7c940-7f07-403c-850a-cb6a3180ca72/1981-Andrew-Hosie-GNS2-AH?maxsidesize=1920&resizemode=force,F:\Temp\1981\Andrew Hosie\1.jpg,"Children push forward holding containers for a ration of milk. The refugees were driven out of their homelands by the conflict between Ethiopians and Somalis over the Ogaden region, and now suffer from hunger in overpopulated camps.",2nd prize,Andrew Hosie,1981
4,2,Not Specified,1981 Photo Contest,General News,"01 January, 1980",https://www.worldpressphoto.org/getmedia/717940ae-1cf8-490e-8576-f139f315e18a/1981-Andrew-Hosie-GNS2-BH?maxsidesize=1920&resizemode=force,F:\Temp\1981\Andrew Hosie\2.jpg,"A young girl finds it impossible to resist food provided for her ailing brother when she is hungry and he can't eat due to illness. The refugees were driven out of their homelands by the conflict between Ethiopians and Somalis over the Ogaden region, and now suffer from hunger in overpopulated camps.",2nd prize,Andrew Hosie,1981
5,3,Not Specified,1981 Photo Contest,General News,"01 January, 1980",https://www.worldpressphoto.org/getmedia/c56216f8-75fe-4a67-9081-cb6f360db571/1981-Andrew-Hosie-GNS2-CH?maxsidesize=1920&resizemode=force,F:\Temp\1981\Andrew Hosie\3.jpg,"An undernourished child is slowly fed by her mother using her fingertip. The refugees were driven out of their homelands by the conflict between Ethiopians and Somalis over the Ogaden region, and now suffer from hunger in overpopulated camps.",2nd prize,Andrew Hosie,1981
6,4,Not Specified,1981 Photo Contest,General News,"01 January, 1980",https://www.worldpressphoto.org/getmedia/b8845564-ad3a-408d-92c8-16bc377a5c26/1981-Andrew-Hosie-GNS2-DH?maxsidesize=1920&resizemode=force,F:\Temp\1981\Andrew Hosie\4.jpg,"A man ravaged by tuberculosis and too weak to move, is watched over by his mother. Despite her appeals no medicine was available. The refugees were driven out of their homelands by the conflict between Ethiopians and Somalis over the Ogaden region, and now suffer from hunger in overpopulated camps.",2nd prize,Andrew Hosie,1981
7,5,Not Specified,1981 Photo Contest,General News,"01 January, 1980",https://www.worldpressphoto.org/getmedia/d07ea04d-8413-4067-8f6f-735b54c9931f/1981-Andrew-Hosie-GNS2-EH?maxsidesize=1920&resizemode=force,F:\Temp\1981\Andrew Hosie\5.jpg,"Refugees were driven out of their homelands by the conflict between Ethiopians and Somalis over the Ogaden region, and now suffer from hunger in overpopulated camps.",2nd prize,Andrew Hosie,1981
8,6,Not Specified,1981 Photo Contest,General News,"01 January, 1980",https://www.worldpressphoto.org/getmedia/e00c408e-0c60-4b3c-ab5a-611677e02e06/1981-Andrew-Hosie-GNS2-FH?maxsidesize=1920&resizemode=force,F:\Temp\1981\Andrew Hosie\6.jpg,"Three children wait for a handout of dried fruit. The refugees were driven out of their homelands by the conflict between Ethiopians and Somalis over the Ogaden region, and now suffer from hunger in overpopulated camps.",2nd prize,Andrew Hosie,1981
9,7,Not Specified,1981 Photo Contest,General News,"01 January, 1980",https://www.worldpressphoto.org/getmedia/9cadb9f1-d999-4136-9224-fea1d0c36d83/1981-Andrew-Hosie-GNS2-GH?maxsidesize=1920&resizemode=force,F:\Temp\1981\Andrew Hosie\7.jpg,"Refugees were driven out of their homelands by the conflict between Ethiopians and Somalis over the Ogaden region, and now suffer from hunger in overpopulated camps.",2nd prize,Andrew Hosie,1981
