,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/81615398-a63b-4484-972a-2c3614b32c64/1986-Mary-Ellen-Mark-GNS2-AK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\1.jpg,"Aid worker Dr. Bénedicte Clement receives a kiss from four-year-old Mohammed in Korem Camp, a  famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
1,2,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/abc23248-cf00-4938-a7d5-103ce6df7919/1986-Mary-Ellen-Mark-GNS2-BK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\2.jpg,"A mother has lost one of her children in Korem Camp, a  famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
2,3,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/29496c19-b066-4874-9f0e-2b05e7fa5717/1986-Mary-Ellen-Mark-GNS2-CK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\3.jpg,"Children's bodies are lined up on a stretcher in Korem Camp, a famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
3,4,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/ce658d19-4879-4997-b31d-a49efa8a6b5b/1986-Mary-Ellen-Mark-GNS2-DK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\4.jpg,"Ahaza Desta has just given birth to her fifth child, a girl, in Korem Camp, a famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
4,5,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/359baf59-743e-4304-93f8-ecc3aebd77fc/1986-Mary-Ellen-Mark-GNS2-EK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\5.jpg,"Chekole Debasser (4) died from starvation complicated by mumps and diarrhoea, in Korem Camp, a famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
5,6,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/44283939-6e29-43fc-af2d-33e84976d2b8/1986-Mary-Ellen-Mark-GNS2-FK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\6.jpg,"Life in Korem Camp, a famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
6,7,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/0b9c5786-6b83-4e59-9681-c91f7cf19844/1986-Mary-Ellen-Mark-GNS2-GK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\7.jpg,"Life in Korem Camp, a famine relief camp 250 miles north of Addis Ababa, Ethiopia. For the famine victims forced to live outdoors, blankets and crevices in the parched earth provide the only shelter during the cold nights.",2nd prize,Mary Ellen Mark,1986
7,8,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/88016f5b-0a43-41fa-9089-e0f10f22068b/1986-Mary-Ellen-Mark-GNS2-HK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\8.jpg,"Life in Korem Camp, a  famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
8,9,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/7093ed0d-6acf-4e2f-86bd-74a8f5235f9e/1986-Mary-Ellen-Mark-GNS2-IK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\9.jpg,"Life in Korem Camp, a famine relief camp 250 miles north of Addis Ababa, Ethiopia.",2nd prize,Mary Ellen Mark,1986
9,10,Not Specified,1986 Photo Contest,General News,"01 May, 1985",https://www.worldpressphoto.org/getmedia/40f7b098-153d-49ae-931a-4418a801a965/1986-Mary-Ellen-Mark-GNS2-JK?maxsidesize=1920&resizemode=force,F:\Temp\1986\Mary Ellen Mark\10.jpg,"Fantaye Abay, a 10-year old orphan, in Korem Camp, a relief camp 250 miles north of Addis Ababa, Ethiopia. Famine in Ethiopia continues to take its toll.",2nd prize,Mary Ellen Mark,1986
10,1,Not Specified,1986 Photo Contest,Humor,"01 January, 1985",https://www.worldpressphoto.org/getmedia/b8b59b3f-be5e-4e35-bd1b-822f4af67c2b/1986-Alexander-Grachtchenkov-HM1?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alexander Grachtchenkov\1.jpg,Russian obstetrician and pedagogue Igor Charkovsky showing a baby outside his school for physical education in Moscow.,1st prize,Alexander Grachtchenkov,1986
11,1,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/e3620165-77af-42f1-875e-eb91d2589235/1986-Alfred-Yaghobzadeh-GNS1-AH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\1.jpg,Life in war-torn Beirut: A family mourns the loss of a relative.,1st prize,Alfred Yaghobzadeh,1986
12,2,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/76df0c4a-6704-4c96-918f-f753c33d9f9f/1986-Alfred-Yaghobzadeh-GNS1-BH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\2.jpg,Life in war-torn Beirut: A woman mourns the loss of a relative at a funeral.,1st prize,Alfred Yaghobzadeh,1986
13,3,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/bcaa2254-49f4-424c-b253-fdd56b1ee76a/1986-Alfred-Yaghobzadeh-GNS1-CH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\3.jpg,Life in war-torn Beirut: Relatives mourn their dead at the family home.,1st prize,Alfred Yaghobzadeh,1986
14,4,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/61ee0ec9-3854-4408-95f6-f89ee0e7cfbb/1986-Alfred-Yaghobzadeh-GNS1-DH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\4.jpg,Life in war-torn Beirut: A relative mourns a victim of violence.,1st prize,Alfred Yaghobzadeh,1986
15,5,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/ffc3930b-b4d3-45e3-a599-9fdb438432d5/1986-Alfred-Yaghobzadeh-GNS1-EH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\5.jpg,"Life in war-torn Beirut: Islamic girls in chadors parade, carrying bazookas.",1st prize,Alfred Yaghobzadeh,1986
16,6,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/c4eca090-dc93-46ac-b7f1-7e9cb58b4f9b/1986-Alfred-Yaghobzadeh-GNS1-FH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\6.jpg,Life in war-torn Beirut: Shi'ite hijackers read out their demands after taking control of a plane.,1st prize,Alfred Yaghobzadeh,1986
17,7,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/c5dbff23-5213-4370-968d-6816e2e3ea33/1986-Alfred-Yaghobzadeh-GNS1-GH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\7.jpg,Life in war-torn Beirut: A victim of the religious fighting.,1st prize,Alfred Yaghobzadeh,1986
18,8,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/8c1814df-38ec-478a-a649-ef719807f42a/1986-Alfred-Yaghobzadeh-GNS1-HH?maxsidesize=1920&resizemode=force,F:\Temp\1986\Alfred Yaghobzadeh\8.jpg,Life in war-torn Beirut: A relative carries a dead child to a cemetery.,1st prize,Alfred Yaghobzadeh,1986
19,1,Not Specified,1986 Photo Contest,General News,"01 January, 1985",https://www.worldpressphoto.org/getmedia/d4809217-251a-4c93-a9ad-f7fc569510e9/1986-James-L-Stanfield-GNS3-AG?maxsidesize=1920&resizemode=force,F:\Temp\1986\James L. Stanfield\1.jpg,"Easter.
As a sovereign state within the city of Rome, Vatican City was only created in 1929, but the Holy See, head of the Roman Catholic Church, has endured longer than any other Western office. Combining the spiritual guidance and temporal management of the world's largest congregation, Pope John Paul II is monarch of Vatican City and Bishop of Rome.",3rd prize,James L. Stanfield,1986
