,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Metropolis,2011 Photo Contest,Daily Life,"16 May, 2007",https://www.worldpressphoto.org/getmedia/000a881d-d2ab-4b80-b448-07da9a4e2025/2011-Martin-Roemers-DLS1-AJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\1.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
1,2,Metropolis,2011 Photo Contest,Daily Life,"12 December, 2009",https://www.worldpressphoto.org/getmedia/50bab1d3-1199-4b7d-a08d-1b9876902e27/2011-Martin-Roemers-DLS1-BJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\2.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
2,3,Metropolis,2011 Photo Contest,Daily Life,"10 March, 2010",https://www.worldpressphoto.org/getmedia/43d50ba0-52ed-4fbf-a814-4c7b3e46408e/2011-Martin-Roemers-DLS1-CJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\3.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
3,4,Metropolis,2011 Photo Contest,Daily Life,"11 March, 2010",https://www.worldpressphoto.org/getmedia/964d2ff3-9f41-4864-94e3-86d57847dd8a/2011-Martin-Roemers-DLS1-DJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\4.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
4,5,Metropolis,2011 Photo Contest,Daily Life,"07 July, 2010",https://www.worldpressphoto.org/getmedia/dca0475a-0487-432f-ab28-97d3e9c8fed2/2011-Martin-Roemers-DLS1-EJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\5.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
5,6,Metropolis,2011 Photo Contest,Daily Life,"10 January, 2008",https://www.worldpressphoto.org/getmedia/55db355d-5a63-41ed-bc18-f3d433487cc2/2011-Martin-Roemers-DLS1-FJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\6.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
6,7,Metropolis,2011 Photo Contest,Daily Life,"09 January, 2008",https://www.worldpressphoto.org/getmedia/7d566c81-b479-4e44-8221-7481d82c4aff/2011-Martin-Roemers-DLS1-GJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\7.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
7,8,Metropolis,2011 Photo Contest,Daily Life,"05 March, 2010",https://www.worldpressphoto.org/getmedia/8b0f828c-71f0-4585-bc3f-594b3ff7b1c1/2011-Martin-Roemers-DLS1-HJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\8.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
8,9,Metropolis,2011 Photo Contest,Daily Life,"08 March, 2010",https://www.worldpressphoto.org/getmedia/adf660e3-8aad-4c1b-a119-1da77ffd6bdd/2011-Martin-Roemers-DLS1-IJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\9.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
9,10,Metropolis,2011 Photo Contest,Daily Life,"07 March, 2010",https://www.worldpressphoto.org/getmedia/a4b518b7-810a-4c9a-a726-e21eb9d6f9a9/2011-Martin-Roemers-DLS1-JJ?maxsidesize=1920&resizemode=force,F:\Temp\2011\Martin Roemers\10.jpg,Half of humanity now lives in a city.,1st prize,Martin Roemers,2011
