,Index,Title,Published Date,Background,Story,Award,Award Region,Award Category,Jury,URL,Stored Path,Photographer,Award Year
0,1,The Dying River,"11 March, 2022","Alfredo, Ubaldo, and José tend beehives near Wenden in the Arizona desert, United States. A substantial decrease in rainfall in the area means that the men must now provide water for the bees in troughs.","Heat and drought weakens bees, making them more susceptible to pathogens and parasites, and impacts the plants from which they feed. Between 2019 and 2020, colonies of managed honey-bees declined by 43.7% across the US. Bees are vital for pollinating many crops, and so play an important role in food security for humans.",2023 Photo Contest,North and Central America,Singles,"This portrait of beekeepers is visually clean and sparks interest and curiosity to understand the issue at hand. The image is subtle and understated, and the jury was impressed by the composition of bees across all thirds. While the topic resonates at a global level, the image itself encourages us to sit with these particular people and consider how they might be impacted by the ongoing environmental crisis.",https://www.worldpressphoto.org/getmedia/6f288c3f-dc33-4131-856f-aab3801625d1/WPP-2023Contest-North-and-Central-America-SIN-Jonas-Kako.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Jonas Kakó\1.jpg,Jonas Kakó,2023
1,1,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/e9fb2f39-386d-4783-b1ad-fd9a9709e6cf/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-01.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\1.jpg,Carlos Barria,2023
2,2,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/258905e9-7a2b-4889-9e02-74bc64870fbf/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-02.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\2.jpg,Carlos Barria,2023
3,3,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/93e32620-2ca4-440a-8b36-455f2f5c67bc/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-03.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\3.jpg,Carlos Barria,2023
4,4,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/f3ab2faf-c66d-41e5-9be2-2f0ebbc99cb7/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-04.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\4.jpg,Carlos Barria,2023
5,5,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/67b4e94f-569f-459b-afea-65ad3389791d/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-05.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\5.jpg,Carlos Barria,2023
6,6,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/35af2cd6-77b5-4fd9-8cea-4aeb2fcba104/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-06.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\6.jpg,Carlos Barria,2023
7,7,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/c3731f87-204a-4351-93ab-b457785c724c/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-07.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\7.jpg,Carlos Barria,2023
8,8,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/d6d55bf3-84b0-4d61-b863-481ccf1e6d74/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-08.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\8.jpg,Carlos Barria,2023
9,9,Maria's Journey,"23 June, 2021","Maria Hernandez walks home from shopping in San Pedro Sula, Honduras, while awaiting a decision on her immigration case, in order to travel to the United States to reunite with her daughters.","When Maria Hernandez and her two daughters, aged eight and three, arrived in the United States from Honduras in search of asylum in July 2017, border authorities apprehended them. The authorities deported Maria, but her children remained behind. US officials at first arranged for the girls to stay in a children’s shelter; later, they went to live with Maria’s adult son, who was already in the country. ",2023 Photo Contest,North and Central America,Stories,"This project answers many questions about the outcome of one's journey of displacement. It offers a clear and complete narrative on the chronology of Maria’s story, portraying how migration is not a solution, but rather a trigger to a whole new set of challenges. The story offers a unique, emotional perspective on migration that is different from mainstreamed stories. The jury was impressed by the photographer's selection of images which demonstrated their commitment to accurately narrating Maria's story over time, across countries. The story stood out as a subversion of the typical displacement story coming from Central America.",https://www.worldpressphoto.org/getmedia/2e26a32c-5f0a-469a-b49c-dc69db9bb30b/WPP-2023Contest-North-and-Central-America-STO-Carlos-Barria-09.jpg?maxsidesize=1920&resizemode=force,F:\Temp\2023\Carlos Barria\9.jpg,Carlos Barria,2023
