,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Not Specified,2010 Photo Contest,General News,"13 December, 2009",https://www.worldpressphoto.org/getmedia/017f9219-2eea-4c95-99f4-870729748830/2010-Farah-Abdi-Warsameh-GNS2-AD?maxsidesize=1920&resizemode=force,F:\Temp\2010\Farah Abdi Warsameh\1.jpg,"Mohamed Abukar Ibrahim, 48, is stoned to death by members of Hizbul Islam, a group of Somali Islamist insurgents in Afgooye, 30 km from the capital Mogadishu, on 13 December. Ibrahim had been found guilty of adultery by a local Sharia court. In February, the president of a transitional government had agreed to the introduction of Sharia law in Somalia, in order to defuse clashes between the government and local clan-based militia.",2nd prize,Farah Abdi Warsameh,2010
1,2,Not Specified,2010 Photo Contest,General News,"13 December, 2009",https://www.worldpressphoto.org/getmedia/9997281f-c1db-4e80-bc50-b93e222971ab/2010-Farah-Abdi-Warsameh-GNS2-BD?maxsidesize=1920&resizemode=force,F:\Temp\2010\Farah Abdi Warsameh\2.jpg,"Mohamed Abukar Ibrahim, 48, is stoned to death by members of Hizbul Islam, a group of Somali Islamist insurgents in Afgooye, 30 km from the capital Mogadishu, on 13 December. Ibrahim had been found guilty of adultery by a local Sharia court. In February, the president of a transitional government had agreed to the introduction of Sharia law in Somalia, in order to defuse clashes between the government and local clan-based militia.",2nd prize,Farah Abdi Warsameh,2010
2,3,Not Specified,2010 Photo Contest,General News,"13 December, 2009",https://www.worldpressphoto.org/getmedia/76127f36-d889-4e90-a656-af584e04f1a0/2010-Farah-Abdi-Warsameh-GNS2-CD?maxsidesize=1920&resizemode=force,F:\Temp\2010\Farah Abdi Warsameh\3.jpg,"Mohamed Abukar Ibrahim, 48, is stoned to death by members of Hizbul Islam, a group of Somali Islamist insurgents in Afgooye, 30 km from the capital Mogadishu, on 13 December. Ibrahim had been found guilty of adultery by a local Sharia court. In February, the president of a transitional government had agreed to the introduction of Sharia law in Somalia, in order to defuse clashes between the government and local clan-based militia.",2nd prize,Farah Abdi Warsameh,2010
3,4,Not Specified,2010 Photo Contest,General News,"13 December, 2009",https://www.worldpressphoto.org/getmedia/bac6069f-b533-4823-b5bf-0e252ac3acfe/2010-Farah-Abdi-Warsameh-GNS2-DD?maxsidesize=1920&resizemode=force,F:\Temp\2010\Farah Abdi Warsameh\4.jpg,"Mohamed Abukar Ibrahim, 48, is stoned to death by members of Hizbul Islam, a group of Somali Islamist insurgents in Afgooye, 30 km from the capital Mogadishu, on 13 December. Ibrahim had been found guilty of adultery by a local Sharia court. In February, the president of a transitional government had agreed to the introduction of Sharia law in Somalia, in order to defuse clashes between the government and local clan-based militia.",2nd prize,Farah Abdi Warsameh,2010
4,1,Not Specified,2010 Photo Contest,General News,"03 March, 2009",https://www.worldpressphoto.org/getmedia/41b452b3-e785-43f3-afc8-294ef28a5c4e/2010-Kent-Klich-GN1?maxsidesize=1920&resizemode=force,F:\Temp\2010\Kent Klich\1.jpg,"Gaza Photo Album. Light enters through a hole in the roof of a house hit by a tank shell in Tuffah, northern Gaza. The family that lived in the house had fled during Operation Cast Lead, the Israeli attack on Gaza that began at the end of December 2008. Mohammed Shuhada Ali Ahmed, 39, had gone back to fetch clothes for his children and was killed when the shell struck.",1st prize,Kent Klich,2010
5,1,Not Specified,2010 Photo Contest,General News,"27 September, 2009",https://www.worldpressphoto.org/getmedia/b7c57337-0f7c-4cb3-a04d-22597838f7b6/2010-Carlos-Villalon-GN2?maxsidesize=1920&resizemode=force,F:\Temp\2010\Carlos Villalon\1.jpg,"A youth lies dead in a pool of blood in Medellín, Colombia on 27 September. President Álvaro Uribe has moved successfully against drug cartels in recent years, but, as international traffickers left Medellín, their place has been taken by gangs fighting for control of the local drug trade. Violent deaths in the city doubled in 2009, often related to clashes between drug gangs, but sometimes involving innocent bystanders.",2nd prize,Carlos Villalon,2010
6,1,Not Specified,2010 Photo Contest,General News,"10 March, 2009",https://www.worldpressphoto.org/getmedia/e02f633f-1742-4499-85eb-2434c8f40c66/2010-Rina-Castelnuovo-GN3?maxsidesize=1920&resizemode=force,F:\Temp\2010\Rina Castelnuovo\1.jpg,"A Jewish man throws wine at a Palestinian woman before a Purim parade in the West Bank city of Hebron on 10 March. Purim is an annual Jewish festival with celebrations that include feasting and drinking. Hebron is divided into two zones. In one, under Israeli security control, several hundred Jewish residents live among tens of thousands of Palestinians. Tension between the communities is expressed in acts of harassment and provocation from both sides.",3rd prize,Rina Castelnuovo,2010
7,1,Not Specified,2010 Photo Contest,General News,"16 February, 2009",https://www.worldpressphoto.org/getmedia/310c4493-2f73-4c0c-9b22-08469b32e873/2010-Marco-Vernaschi-GNS1-AL?maxsidesize=1920&resizemode=force,F:\Temp\2010\Marco Vernaschi\1.jpg,"Guinea-Bissau, one of the poorest nations in the world, has become a hub for cocaine trafficking as South American drug cartels seek new smuggling routes to Europe. With over 100 islands off its coast and a navy with no working boats, Guinea-Bissau offers a haven for drop-offs, storage and movement of cocaine. Leading officials are involved, as was assassinated president João Bernardo Vieira, according to Interpol.",1st prize,Marco Vernaschi,2010
8,2,Not Specified,2010 Photo Contest,General News,"10 March, 2009",https://www.worldpressphoto.org/getmedia/addeb95d-2eac-4422-806b-83b2662083d4/2010-Marco-Vernaschi-GNS1-BL?maxsidesize=1920&resizemode=force,F:\Temp\2010\Marco Vernaschi\2.jpg,"President João Bernardo Vieira of Guinea-Bissau was assassinated on 2 March. Guinea-Bissau has become a hub for cocaine trafficking as South American drug cartels seek new smuggling routes to Europe. With over 100 islands off its coast and a navy with no working boats, Guinea-Bissau offers a haven for drop-offs, storage and movement of cocaine. Leading officials are involved, as was President Vieira, according to Interpol.",1st prize,Marco Vernaschi,2010
9,3,Not Specified,2010 Photo Contest,General News,"03 March, 2009",https://www.worldpressphoto.org/getmedia/8dfd18a3-871a-473d-b696-6596c442a4d5/2010-Marco-Vernaschi-GNS1-CL?maxsidesize=1920&resizemode=force,F:\Temp\2010\Marco Vernaschi\3.jpg,"The scene of President Vieira's assassination. He was shot and then hacked with a machete. Guinea-Bissau has become a hub for cocaine trafficking as South American drug cartels seek new smuggling routes to Europe. With over 100 islands off its coast and a navy with no working boats, Guinea-Bissau offers a haven for drop-offs, storage and movement of cocaine. Leading officials are involved, as was President Vieira, according to Interpol.",1st prize,Marco Vernaschi,2010
