,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/b0a792b9-b4ab-4190-b73f-9644553c6031/2008-Cedric-Gerbehaye-GNS3-AL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\1.jpg,"Soldiers of the dissident CNDP (National Congress for the Defense of the People) training. They are renowned for their discipline. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. The process of integrating rebel militia into the national army remained delicate.",3rd prize,Cédric Gerbehaye,2008
1,2,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/559c0873-92b7-4cf3-9bb3-f95eebc4cf86/2008-Cedric-Gerbehaye-GNS3-BL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\2.jpg,"Refugees whose homes have been burned seek shelter in the Convent of Fataki. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. With no clear winner in the presidential vote, forces loyal to the two candidates continued to clash. Years of conflict have led to the displacement of thousands of civilians.",3rd prize,Cédric Gerbehaye,2008
2,3,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/10a2279d-14f5-473c-9cc8-2a3085eb01ed/2008-Cedric-Gerbehaye-GNS3-CL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\3.jpg,"As soldiers of the national FARDC (Armed Forces of the Democratic Republic of the Congo) are paid very little, they plunder a local population already weakened by years of war. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. With no clear winner in the presidential vote, forces loyal to the two candidates clashed, and regional unrest continued.",3rd prize,Cédric Gerbehaye,2008
3,4,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/af24bc45-0831-40c9-ba46-f19811804151/2008-Cedric-Gerbehaye-GNS3-DL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\4.jpg,"Dissident general Laurent Nkunda poses at his headquarters in a province particularly affected by unrest. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. With no clear winner in the presidential vote, opposing sides continued to clash. The process of integrating rebel militia into the national army remained delicate.",3rd prize,Cédric Gerbehaye,2008
4,5,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/055b64eb-c327-4924-86af-49fe8767be1d/2008-Cedric-Gerbehaye-GNS3-EL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\5.jpg,"Soldiers at General Nkunda's headquarters gather for morning prayers. The general is also a priest. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. With no clear winner in the presidential vote, opposing sides continued to clash. The process of integrating rebel militia into the national army remained delicate.",3rd prize,Cédric Gerbehaye,2008
5,6,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/8cdbac19-bc1a-4b5f-bc26-16aee86c627a/2008-Cedric-Gerbehaye-GNS3-FL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\6.jpg,"A child soldier of the FNI (Nationalist and Integrationist Front) arrives at the Kpandroma transit camp to be demobilized. The first free elections in four decades did not put an end to violence and instability in the country. The process of integrating rebel militia into the national army remained delicate. Despite demobilization of child soldiers, a significant number remained active in the bush.",3rd prize,Cédric Gerbehaye,2008
6,7,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/43d8a793-26d2-4c24-928b-564942e2a400/2008-Cedric-Gerbehaye-GNS3-GL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\7.jpg,"Child soldiers of the FNI (Nationalist and Integrationist Front) wait at the Kpandroma transit camp after being demobilized. The first free elections in four decades did not put an end to violence and instability in the country. The process of integrating rebel militia into the national army remained delicate. Despite demobilization of child soldiers, a significant number remained active in the bush",3rd prize,Cédric Gerbehaye,2008
7,8,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/f071ca9a-929e-4c08-98c2-a23f6795b4c6/2008-Cedric-Gerbehaye-GNS3-HL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\8.jpg,"Bullets are removed from the leg of a civilian victim of conflict. He has already had an arm amputated. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. With no clear winner in the presidential vote, opposing sides continued to clash. The process of integrating rebel militia into the national army remained delicate.",3rd prize,Cédric Gerbehaye,2008
8,9,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/5718ebc9-4080-46c3-8bf9-a767b4bc2595/2008-Cedric-Gerbehaye-GNS3-IL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\9.jpg,"The Muzipela cemetery. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. With no clear winner in the presidential vote, opposing sides continued to clash. An estimated four million people have died in hostilities since 1998, making it the world's most lethal conflict since World War II.",3rd prize,Cédric Gerbehaye,2008
9,10,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/c4030653-942d-4343-8bc6-1edc9063de21/2008-Cedric-Gerbehaye-GNS3-JL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Cédric Gerbehaye\10.jpg,"A pastor conducts a healing session at the Church of the Body of Christ. The first free elections in four decades, held in 2006, did not put an end to violence and instability in the country. One consequence of the long-term conflict is a fervent following for Pentecostal churches, which offer fast solutions to people whose lives have been torn apart by social and economic collapse.",3rd prize,Cédric Gerbehaye,2008
10,1,Not Specified,2008 Photo Contest,General News,"01 January, 2007",https://www.worldpressphoto.org/getmedia/13d7820c-53ef-4714-805b-b79090309fe3/2008-Stanley-Greene-GN2?maxsidesize=1920&resizemode=force,F:\Temp\2008\Stanley Greene\1.jpg,"A sketch in the sand illustrates a 2003 assault on Furawiya village in Darfur in western Sudan. The diagram was drawn four years later in a refugee camp in neighboring Chad by Asdallah Asdel Khaled, a survivor of the attack. He had witnessed the total destruction of his village and atrocities committed against its inhabitants. Between 2003 and 2007, over 200,000 people were killed and millions displaced by ethnic conflict in Darfur, with large numbers fleeing to Chad.",2nd prize,Stanley Greene,2008
11,1,Not Specified,2008 Photo Contest,General News,"15 October, 2007",https://www.worldpressphoto.org/getmedia/15b52f02-7ef1-4d16-99b9-c0fc4cccbfae/2008-Takagi-Tadatomo-GN3?maxsidesize=1920&resizemode=force,F:\Temp\2008\Takagi Tadatomo\1.jpg,"The victim of an attack by members of the Mungiki gang lies in a street in downtown Nairobi. Mungiki began as a secretive religious sect in Kenya in the 1980s, espousing a return to traditional values and a rejection of Western beliefs. Members are known for their trademark dreadlocks and rituals of tobacco sniffing. Banned in 2002, the sect appears to have evolved over the years into an underworld gang involved in murder, extreme violence, extortion and racketeering. Its activities are said to include demanding protection money from minibus taxi drivers and levying heavy fees for water and electricity supply in slum areas.",3rd prize,Takagi Tadatomo,2008
12,1,Not Specified,2008 Photo Contest,General News,"01 October, 2007",https://www.worldpressphoto.org/getmedia/cc93d1b3-3285-4f0a-98d5-75772a8e5b14/2008-Balazs-Gardi-GNS1-AL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Balazs Gardi\1.jpg,"Combined American and Afghan National Army forces conduct Operation Rock Avalanche to flush out insurgents from the Korengal Valley. The valley is considered to be the epicenter of American fighting in Afghanistan and one of the deadliest zones of conflict in the region. Located near the Pakistan border, it was the first part of a former mujahideen arms-smuggling channel, used to bring men and arms into the country. American military strategists believed that al-Qaeda was trying to revive the route.",1st prize,Balazs Gardi,2008
13,2,Not Specified,2008 Photo Contest,General News,"01 October, 2007",https://www.worldpressphoto.org/getmedia/53391543-e8e7-44a7-8780-fdd887621e23/2008-Balazs-Gardi-GNS1-BL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Balazs Gardi\2.jpg,"American soldiers from Battle Company return fire in a skirmish with insurgents during Operation Rock Avalanche. The Korengal Valley is one of the deadliest zones of conflict in the region. Located near the Pakistan border, it was the first part of a former mujahideen arms-smuggling channel. American military strategists believed that al-Qaeda was trying to revive the route.",1st prize,Balazs Gardi,2008
14,3,Not Specified,2008 Photo Contest,General News,"01 October, 2007",https://www.worldpressphoto.org/getmedia/72a0bce4-ca34-45e8-87c9-328fad0d4161/2008-Balazs-Gardi-GNS1-CL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Balazs Gardi\3.jpg,"Combined American and Afghan National Army forces conduct Operation Rock Avalanche to flush out insurgents in northeastern Afghanistan. Korengal Valley is one of the deadliest zones of conflict in the region. Located near the Pakistan border, it was the first part of a former mujahideen arms-smuggling channel. American military strategists believed that al-Qaeda was trying to revive the route.",1st prize,Balazs Gardi,2008
15,4,Not Specified,2008 Photo Contest,General News,"01 October, 2007",https://www.worldpressphoto.org/getmedia/c344a403-9d87-482c-a828-ef5f138a5d14/2008-Balazs-Gardi-GNS1-DL?maxsidesize=1920&resizemode=force,F:\Temp\2008\Balazs Gardi\4.jpg,"Men are made to stand at a distance from each other as US soldiers search their village during Operation Rock Avalanche. Korengal Valley is one of the deadliest zones of conflict in the region. Located near the Pakistan border, it was the first part of a former mujahideen arms-smuggling channel. American military strategists believed that al-Qaeda was trying to revive the route.",1st prize,Balazs Gardi,2008
