,Index,Title,Award,Category,Published Date,URL,Stored Path,Description,Prize Level,Photographer,Award Year
0,1,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/4d7926c1-0901-4fb9-8384-7bae7ddaeb8f/2004-Alexander-Nicholson-DLS3-AL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\1.jpg,"Stacie (31) and Tom (41) like to wear rubber as a second skin, and to take photographs of each other. The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
1,2,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/14f4f444-2471-4495-9077-25fbfc0ae39c/2004-Alexander-Nicholson-DLS3-BL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\2.jpg,"Jon (30) wears diapers because he likes to feel urine against his skin. The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
2,3,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/72a87bf3-fcf1-4f05-9ee0-7c2afef9dbe2/2004-Alexander-Nicholson-DLS3-CL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\3.jpg,"Ian (38) lives in a furnished garage behind his parents' house. He is an unemployed toolsetter with a fetish for uniforms, enjoying both dominant and submissive fantasies with other male uniform fetishists. The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
3,4,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/fc2caa92-680d-406d-b739-ea51459fa224/2004-Alexander-Nicholson-DLS3-DL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\4.jpg,"The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
4,5,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/0d0cc13b-0248-4b2e-9106-eadeff860799/2004-Alexander-Nicholson-DLS3-EL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\5.jpg,"A suburban garden. The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
5,6,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/ead5251e-5913-4281-9d58-cf4fe70e9319/2004-Alexander-Nicholson-DLS3-FL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\6.jpg,"The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
6,7,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/005574d1-74d5-48a1-9cd6-73a3dfa6413b/2004-Alexander-Nicholson-DLS3-GL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\7.jpg,"The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
7,8,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/dddc6424-c895-4667-b0d6-b31a309b1271/2004-Alexander-Nicholson-DLS3-HL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\8.jpg,"The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
8,9,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/2a1714e3-1593-476e-8681-34dbe4d14f32/2004-Alexander-Nicholson-DLS3-IL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\9.jpg,"Bob (40) still meets his one-time partner Tiam for bondage and discipline. They learned of mummification from a magazine dedicated to the subject. The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
9,10,Not Specified,2004 Photo Contest,Daily Life,"01 January, 1995",https://www.worldpressphoto.org/getmedia/9e1d1a4f-6442-4588-bac6-0c572ae8eea9/2004-Alexander-Nicholson-DLS3-JL?maxsidesize=1920&resizemode=force,F:\Temp\2004\Alexander Nicholson\10.jpg,"Clingfilm bondage is an extension of other fetishes involving physical restraint. The people, activities and fetishes represented here are not part of an overt, inner-city transgressive sexual scene, but a more private, suburban realm.",3rd prize,Alexander Nicholson,2004
